Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,GPK,PK,PKatt,CrdY,CrdR,Gls1,Ast1,GA,GPK11,GAPK,xG,npxG,xA,npxGxA,xG11,xA11,xGxA,npxG11,npxGxA1,Sh,SoT,SoT1,Sh90,SoT90,GSh,GSoT,Dist,FK,npxGSh,GxG,npGxG,Cmp,Att,Cmp1,TotDist,PrgDist,Cmp11,Att11,Cmp111,Cmp12,Att12,Cmp112,Cmp13,Att13,Cmp113,AxA,KP,Third,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out11,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive11,PassDead11,Drib11,Sh11,Fld11,Def11,Tkl,TklW,Def3rd,Mid3rd,Att3rd,Tkl11,Tkl1,Past,Succ,Succ1,Def3rd11,Mid3rd11,Att3rd11,ShSv,Pass,TklInt,Clr,Err,Touches,DefPen,AttPen,Succ11,Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec1,Prog11,CrdY2,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won1,GA.1,GA90,SoTA,Saves,Save1,W,D,L,CS,CS1,PKA,PKsv,PKm,Save111,PSxG,PSxG1SoT,PSxG1,ps,Thr,Launch1,AvgLen,Launch111,AvgLen11,Opp,Stp,Stp1,OPA,OPA90,AvgDist
Juan Jesus,br BRA,DF,Napoli,Serie A,30,1991.0,19,12,1098,12.2,1,0,1,0,0,1,0,0.08,0.0,0.08,0.08,0.08,0.6,0.6,0.2,0.7,0.05,0.02,0.06,0.05,0.06,4.0,1.0,25.0,0.33,0.08,0.25,1.0,8.3,0,0.14,0.4,0.4,640,715,89.5,11751.0,3766.0,236.0,254,92.9,306.0,324,94.4,75.0,104.0,72.1,-0.2,4.0,33.0,2.0,0.0,23.0,676.0,39.0,0.0,62.0,7.0,2,0,0.0,0.0,0.0,581.0,50.0,84.0,585.0,100.0,10.0,1.0,5.0,0,5.0,10,9.0,11.0,0.9,9.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,19,10.0,15.0,0.0,7.0,50.0,7.0,64.0,44.4,76.0,64.0,4.0,0.0,12.0,39.0,31.0,0.0,813.0,96.0,9.0,50.0,1.0,0.0,524.0,1.0,2.0,0.0,562.0,551.0,98.0,0.0,0,13,0,0,1,108,27,26,50.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álvaro Jiménez,es ESP,MF,Cadiz,La Liga,26,1995.0,9,1,234,2.6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.05,0.03,0.08,0.05,0.08,2.0,1.0,50.0,0.77,0.38,0.0,0.0,16.2,0,0.06,-0.1,-0.1,40,72,55.6,714.0,305.0,22.0,30,73.3,11.0,22,50.0,6.0,15.0,40.0,-0.1,2.0,4.0,4.0,2.0,8.0,67.0,5.0,0.0,14.0,7.0,17,3,0.0,3.0,0.0,31.0,16.0,25.0,11.0,53.0,4.0,2.0,1.0,0,4.0,1,4.0,5.0,1.92,1.0,2.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3,4.0,4.0,0.0,3.0,60.0,2.0,15.0,25.0,28.0,21.0,11.0,0.0,3.0,10.0,3.0,0.0,113.0,1.0,8.0,46.2,6.0,0.0,75.0,6.0,6.0,3.0,97.0,70.0,72.2,9.0,0,4,0,0,0,18,3,3,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raúl Jiménez,mx MEX,FW,Wolverhampton_Wanderers,Premier League,30,1991.0,28,25,2155,23.9,6,3,5,1,1,9,2,0.25,0.13,0.38,0.21,0.33,6.0,5.4,2.0,7.4,0.25,0.08,0.33,0.23,0.31,52.0,13.0,25.0,2.17,0.54,0.1,0.38,15.6,1,0.1,0.0,-0.4,455,646,70.4,6750.0,1324.0,278.0,363,76.6,128.0,164,78.0,31.0,61.0,50.8,1.0,27.0,30.0,10.0,1.0,35.0,605.0,41.0,3.0,191.0,11.0,12,0,0.0,0.0,0.0,410.0,140.0,96.0,26.0,526.0,27.0,5.0,20.0,3,18.0,31,33.0,55.0,2.3,36.0,1.0,4.0,4,3.0,13.0,0.54,5.0,0.0,3.0,3.0,1.0,1.0,28.0,19,4.0,15.0,9.0,4.0,20.0,16.0,92.0,25.4,36.0,187.0,139.0,0.0,20.0,46.0,22.0,0.0,1005.0,28.0,119.0,38.1,39.0,2.0,688.0,17.0,75.0,52.0,1189.0,748.0,62.9,161.0,2,50,0,0,0,95,63,84,42.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joaquín,es ESP,FW,Real_Betis,La Liga,40,1981.0,17,2,408,4.5,0,1,0,0,0,0,0,0.0,0.22,0.22,0.0,0.22,1.5,1.5,1.5,3.0,0.33,0.32,0.65,0.33,0.65,10.0,4.0,40.0,2.21,0.88,0.0,0.0,15.6,0,0.15,-1.5,-1.5,178,225,79.1,2930.0,931.0,99.0,110,90.0,53.0,63,84.1,21.0,41.0,51.2,-0.5,16.0,15.0,12.0,1.0,22.0,189.0,36.0,0.0,34.0,13.0,15,23,5.0,10.0,1.0,153.0,23.0,49.0,7.0,204.0,8.0,3.0,1.0,0,6.0,6,6.0,30.0,6.62,16.0,10.0,3.0,1,0.0,2.0,0.44,2.0,0.0,0.0,0.0,0.0,0.0,4.0,3,2.0,2.0,0.0,3.0,50.0,3.0,15.0,35.7,17.0,14.0,11.0,0.0,7.0,8.0,5.0,0.0,285.0,5.0,22.0,57.7,17.0,0.0,208.0,7.0,6.0,8.0,249.0,195.0,78.3,20.0,0,1,0,0,0,33,3,10,23.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joelinton,br BRA,MF,Newcastle_United,Premier League,25,1996.0,29,24,2122,23.6,2,1,2,0,0,7,0,0.08,0.04,0.13,0.08,0.13,2.9,2.9,1.5,4.3,0.12,0.06,0.18,0.12,0.18,38.0,11.0,28.9,1.61,0.47,0.05,0.18,16.9,0,0.08,-0.9,-0.9,620,788,78.7,9650.0,2504.0,337.0,399,84.5,215.0,271,79.3,45.0,64.0,70.3,-0.5,26.0,48.0,19.0,4.0,59.0,776.0,12.0,1.0,245.0,9.0,16,0,0.0,0.0,0.0,534.0,149.0,105.0,124.0,527.0,50.0,7.0,15.0,0,15.0,30,27.0,57.0,2.42,39.0,0.0,3.0,6,2.0,6.0,0.25,4.0,0.0,0.0,1.0,1.0,0.0,65.0,40,31.0,24.0,10.0,21.0,44.7,26.0,144.0,28.1,157.0,235.0,121.0,0.0,47.0,104.0,40.0,0.0,1194.0,74.0,77.0,50.8,33.0,4.0,778.0,8.0,66.0,63.0,934.0,738.0,79.0,90.0,0,63,0,0,0,205,90,93,49.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jofre,es ESP,DF,Espanyol,La Liga,20,2001.0,2,0,16,0.2,0,1,0,0,0,0,0,0.0,5.63,5.63,0.0,5.63,0.0,0.0,0.3,0.3,0.0,1.97,1.97,0.0,1.97,0.0,0.0,,0.0,0.0,,,,0,,0.0,0.0,5,6,83.3,115.0,44.0,3.0,3,100.0,0.0,0,,2.0,3.0,66.7,0.7,2.0,0.0,2.0,2.0,0.0,6.0,0.0,0.0,0.0,2.0,3,0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,6.0,0.0,0.0,0.0,0,1.0,0,0.0,4.0,22.5,3.0,0.0,0.0,1,0.0,2.0,11.25,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1,0.0,0.0,1.0,1.0,100.0,0.0,1.0,50.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,3.0,,0.0,0.0,8.0,1.0,0.0,0.0,11.0,8.0,72.7,5.0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marco John,de GER,DF,Hoffenheim,Bundesliga,20,2002.0,2,0,42,0.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0,,0.0,0.0,15,16,93.8,221.0,100.0,9.0,9,100.0,5.0,6,83.3,1.0,1.0,100.0,0.0,0.0,1.0,0.0,0.0,2.0,13.0,3.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,12.0,3.0,1.0,12.0,0.0,1.0,3.0,0.0,0,0.0,0,0.0,1.0,2.14,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,25.0,1.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,20.0,0.0,1.0,,0.0,0.0,10.0,1.0,0.0,0.0,11.0,10.0,90.9,0.0,0,0,0,0,0,1,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dennis Johnsen,no NOR,FW,Venezia,Serie A,24,1998.0,21,16,1297,14.4,0,2,0,0,0,2,0,0.0,0.14,0.14,0.0,0.14,0.9,0.9,2.5,3.5,0.07,0.17,0.24,0.07,0.24,11.0,4.0,36.4,0.76,0.28,0.0,0.0,16.8,0,0.09,-0.9,-0.9,173,282,61.3,3250.0,1052.0,87.0,125,69.6,51.0,80,63.8,30.0,49.0,61.2,-0.5,22.0,12.0,16.0,6.0,28.0,281.0,1.0,0.0,66.0,14.0,32,0,0.0,0.0,0.0,176.0,58.0,48.0,19.0,244.0,9.0,1.0,6.0,0,6.0,24,25.0,30.0,2.08,26.0,0.0,1.0,2,0.0,2.0,0.14,2.0,0.0,0.0,0.0,0.0,0.0,10.0,8,6.0,4.0,0.0,3.0,15.8,16.0,43.0,19.5,46.0,82.0,93.0,0.0,13.0,19.0,7.0,0.0,450.0,8.0,55.0,39.3,24.0,4.0,349.0,13.0,49.0,25.0,554.0,333.0,60.1,102.0,0,8,0,0,0,64,4,16,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Johnson,eng ENG,DF,West_Ham,Premier League,22,2000.0,17,15,1296,14.4,1,0,1,0,0,1,0,0.07,0.0,0.07,0.07,0.07,0.1,0.1,0.8,0.9,0.01,0.06,0.06,0.01,0.06,5.0,1.0,20.0,0.35,0.07,0.2,1.0,23.6,0,0.02,0.9,0.9,504,728,69.2,9760.0,3918.0,214.0,246,87.0,205.0,284,72.2,74.0,158.0,46.8,-0.8,9.0,41.0,18.0,13.0,46.0,581.0,147.0,1.0,72.0,29.0,40,0,0.0,0.0,0.0,337.0,165.0,226.0,89.0,450.0,32.0,141.0,5.0,2,21.0,25,32.0,16.0,1.11,14.0,1.0,0.0,1,0.0,2.0,0.14,2.0,0.0,0.0,0.0,0.0,0.0,29.0,16,13.0,12.0,4.0,16.0,57.1,12.0,57.0,35.8,78.0,49.0,32.0,1.0,39.0,50.0,47.0,0.0,901.0,85.0,13.0,53.3,11.0,2.0,483.0,1.0,11.0,13.0,522.0,481.0,92.1,18.0,0,10,0,0,0,110,17,18,48.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curtis Jones,eng ENG,MF,Liverpool,Premier League,21,2001.0,13,8,700,7.8,1,1,1,0,0,0,0,0.13,0.13,0.26,0.13,0.26,0.7,0.7,0.6,1.3,0.09,0.07,0.17,0.09,0.17,14.0,6.0,42.9,1.8,0.77,0.07,0.17,22.2,0,0.05,0.3,0.3,424,471,90.0,7094.0,1459.0,219.0,229,95.6,167.0,179,93.3,35.0,52.0,67.3,0.4,8.0,32.0,4.0,0.0,25.0,457.0,14.0,0.0,73.0,10.0,2,3,0.0,2.0,0.0,408.0,27.0,36.0,56.0,397.0,10.0,3.0,0.0,1,2.0,9,8.0,18.0,2.31,11.0,1.0,1.0,2,1.0,2.0,0.26,1.0,0.0,0.0,1.0,0.0,0.0,11.0,7,2.0,8.0,1.0,3.0,33.3,6.0,51.0,28.0,30.0,103.0,49.0,0.0,4.0,20.0,1.0,0.0,560.0,9.0,13.0,60.9,14.0,1.0,445.0,4.0,14.0,18.0,497.0,451.0,90.7,36.0,0,10,0,0,0,62,6,10,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phil Jones,eng ENG,DF,Manchester_United,Premier League,30,1992.0,2,2,135,1.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.0,,0.0,0.0,,,,0,,0.0,0.0,58,64,90.6,1136.0,319.0,17.0,18,94.4,37.0,38,97.4,3.0,5.0,60.0,0.0,1.0,7.0,0.0,0.0,5.0,64.0,0.0,0.0,5.0,0.0,0,0,0.0,0.0,0.0,54.0,4.0,6.0,6.0,53.0,5.0,0.0,0.0,0,1.0,0,2.0,2.0,1.33,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4,3.0,1.0,1.0,2.0,66.7,1.0,4.0,22.2,7.0,10.0,1.0,0.0,0.0,8.0,7.0,0.0,80.0,15.0,0.0,,0.0,0.0,51.0,0.0,0.0,0.0,50.0,50.0,100.0,0.0,0,0,0,0,0,11,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frenkie de Jong,nl NED,MF,Barcelona,La Liga,24,1997.0,26,24,1967,21.9,3,3,3,0,0,6,1,0.14,0.14,0.27,0.14,0.27,4.3,4.3,2.8,7.1,0.2,0.13,0.33,0.2,0.33,13.0,7.0,53.8,0.59,0.32,0.23,0.43,10.9,0,0.33,-1.3,-1.3,1195,1329,89.9,21064.0,4749.0,565.0,606,93.2,458.0,501,91.4,148.0,176.0,84.1,0.2,34.0,118.0,23.0,2.0,111.0,1296.0,33.0,7.0,232.0,31.0,20,7,3.0,3.0,0.0,1083.0,123.0,123.0,70.0,1198.0,31.0,4.0,3.0,5,14.0,22,19.0,56.0,2.56,50.0,2.0,1.0,2,0.0,8.0,0.37,8.0,0.0,0.0,0.0,0.0,0.0,26.0,18,6.0,12.0,8.0,3.0,18.8,13.0,64.0,27.4,49.0,129.0,56.0,0.0,15.0,48.0,16.0,0.0,1508.0,30.0,62.0,68.6,26.0,1.0,1103.0,6.0,22.0,26.0,1335.0,1186.0,88.8,106.0,1,22,0,0,0,179,28,21,57.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luuk de Jong,nl NED,FW,Barcelona,La Liga,31,1990.0,17,6,598,6.6,6,0,6,0,0,0,0,0.9,0.0,0.9,0.9,0.9,3.6,3.6,0.2,3.8,0.54,0.03,0.57,0.54,0.57,25.0,9.0,36.0,3.76,1.35,0.24,0.67,9.9,0,0.14,2.4,2.4,131,173,75.7,1663.0,175.0,87.0,109,79.8,30.0,44,68.2,4.0,4.0,100.0,-0.2,3.0,7.0,2.0,0.0,7.0,163.0,10.0,0.0,54.0,0.0,0,0,0.0,0.0,0.0,119.0,30.0,24.0,36.0,105.0,12.0,0.0,4.0,1,0.0,10,3.0,5.0,0.75,3.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9,0.0,5.0,4.0,1.0,33.3,2.0,44.0,49.4,7.0,48.0,34.0,0.0,2.0,12.0,8.0,0.0,270.0,11.0,47.0,50.0,3.0,0.0,151.0,1.0,20.0,15.0,306.0,207.0,67.6,63.0,0,7,0,0,0,27,30,19,61.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joan Jordán,es ESP,MF,Sevilla,La Liga,27,1994.0,31,26,2163,24.0,0,1,0,0,0,6,0,0.0,0.04,0.04,0.0,0.04,0.8,0.8,1.4,2.2,0.03,0.06,0.09,0.03,0.09,13.0,1.0,7.7,0.54,0.04,0.0,0.0,21.1,1,0.06,-0.8,-0.8,1400,1597,87.7,27555.0,5901.0,573.0,625,91.7,576.0,639,90.1,221.0,277.0,79.8,-0.4,22.0,124.0,22.0,3.0,106.0,1544.0,53.0,1.0,239.0,78.0,17,5,0.0,3.0,0.0,1194.0,180.0,223.0,210.0,1296.0,70.0,3.0,6.0,6,16.0,35,22.0,46.0,1.91,37.0,4.0,1.0,2,1.0,3.0,0.12,2.0,0.0,0.0,0.0,1.0,0.0,54.0,39,18.0,29.0,7.0,25.0,43.1,33.0,121.0,28.4,123.0,243.0,60.0,0.0,24.0,91.0,14.0,1.0,1797.0,43.0,20.0,64.5,22.0,2.0,1254.0,1.0,25.0,21.0,1447.0,1359.0,93.9,54.0,0,56,0,0,0,227,15,21,41.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaio Jorge,br BRA,MF,Juventus,Serie A,20,2002.0,9,0,121,1.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.3,1.2,0.68,0.25,0.93,0.68,0.93,5.0,1.0,20.0,3.72,0.74,0.0,0.0,11.1,0,0.18,-0.9,-0.9,29,38,76.3,502.0,61.0,16.0,20,80.0,8.0,12,66.7,5.0,5.0,100.0,-0.3,2.0,2.0,0.0,0.0,1.0,38.0,0.0,0.0,10.0,0.0,1,0,0.0,0.0,0.0,27.0,3.0,8.0,4.0,31.0,3.0,0.0,0.0,0,2.0,1,1.0,5.0,3.72,4.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1,0.0,3.0,0.0,0.0,0.0,2.0,6.0,25.0,3.0,12.0,9.0,0.0,1.0,3.0,2.0,0.0,62.0,2.0,10.0,50.0,1.0,0.0,42.0,1.0,5.0,3.0,85.0,49.0,57.6,17.0,0,4,0,0,0,6,0,3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jorginho,it ITA,MF,Chelsea,Premier League,30,1991.0,24,21,1868,20.8,6,2,0,6,6,4,0,0.29,0.1,0.39,0.0,0.1,5.0,0.4,2.5,2.9,0.24,0.12,0.36,0.02,0.14,8.0,2.0,25.0,0.39,0.1,0.0,0.0,28.8,0,0.05,1.0,-0.4,1284,1445,88.9,22721.0,5474.0,564.0,616,91.6,583.0,631,92.4,114.0,162.0,70.4,-0.5,17.0,108.0,27.0,0.0,101.0,1401.0,44.0,6.0,253.0,18.0,1,0,0.0,0.0,0.0,1154.0,114.0,177.0,102.0,1287.0,42.0,0.0,2.0,2,11.0,43,12.0,40.0,1.93,34.0,1.0,0.0,2,1.0,7.0,0.34,7.0,0.0,0.0,0.0,0.0,0.0,52.0,34,23.0,25.0,4.0,15.0,24.2,47.0,126.0,32.6,141.0,188.0,57.0,0.0,28.0,100.0,17.0,1.0,1640.0,57.0,13.0,81.8,10.0,1.0,1112.0,0.0,11.0,21.0,1261.0,1210.0,96.0,29.0,0,35,0,0,0,218,14,24,36.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josan,es ESP,DF,Elche,La Liga,32,1989.0,26,7,922,10.2,2,2,2,0,0,2,0,0.2,0.2,0.39,0.2,0.39,1.1,1.1,3.0,4.1,0.11,0.29,0.4,0.11,0.4,10.0,4.0,40.0,0.98,0.39,0.2,0.5,15.0,0,0.11,0.9,0.9,280,389,72.0,4911.0,1783.0,129.0,153,84.3,118.0,159,74.2,29.0,49.0,59.2,-1.0,17.0,10.0,18.0,10.0,24.0,329.0,60.0,0.0,56.0,7.0,44,3,0.0,1.0,0.0,210.0,95.0,84.0,47.0,268.0,16.0,53.0,2.0,3,8.0,16,26.0,22.0,2.15,19.0,1.0,2.0,0,0.0,2.0,0.2,2.0,0.0,0.0,0.0,0.0,0.0,20.0,12,11.0,7.0,2.0,10.0,40.0,15.0,35.0,29.7,48.0,48.0,22.0,0.0,10.0,34.0,15.0,0.0,516.0,16.0,21.0,56.7,17.0,2.0,336.0,7.0,14.0,14.0,361.0,304.0,84.2,40.0,0,10,0,0,0,77,5,15,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willian José,br BRA,FW,Real_Betis,La Liga,30,1991.0,28,17,1445,16.1,8,4,5,3,3,2,0,0.5,0.25,0.75,0.31,0.56,6.0,3.7,2.8,6.5,0.38,0.17,0.55,0.23,0.41,29.0,7.0,24.1,1.81,0.44,0.17,0.71,18.5,3,0.13,2.0,1.3,380,480,79.2,6167.0,1123.0,201.0,233,86.3,117.0,144,81.3,37.0,60.0,61.7,1.2,19.0,21.0,8.0,1.0,25.0,446.0,34.0,2.0,142.0,19.0,5,0,0.0,0.0,0.0,344.0,77.0,59.0,34.0,403.0,14.0,2.0,13.0,2,15.0,21,15.0,41.0,2.55,32.0,0.0,1.0,1,3.0,6.0,0.37,5.0,0.0,0.0,1.0,0.0,0.0,14.0,11,1.0,9.0,4.0,2.0,22.2,7.0,58.0,28.2,17.0,92.0,97.0,0.0,6.0,22.0,13.0,0.0,642.0,18.0,50.0,44.4,9.0,1.0,427.0,9.0,22.0,28.0,714.0,476.0,66.7,92.0,0,13,0,0,0,66,20,40,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joselu,es ESP,FW,Alaves,La Liga,32,1990.0,33,31,2762,30.7,13,2,7,6,7,0,0,0.42,0.07,0.49,0.23,0.29,11.2,5.9,2.9,8.8,0.37,0.09,0.46,0.19,0.29,75.0,28.0,37.3,2.44,0.91,0.09,0.25,18.5,3,0.08,1.8,1.1,620,1009,61.4,9374.0,2204.0,374.0,515,72.6,192.0,337,57.0,37.0,86.0,43.0,-0.9,24.0,59.0,17.0,4.0,73.0,961.0,48.0,3.0,428.0,16.0,37,2,0.0,0.0,0.0,400.0,302.0,307.0,140.0,438.0,116.0,8.0,38.0,10,31.0,38,45.0,60.0,1.96,38.0,1.0,1.0,8,2.0,6.0,0.2,3.0,0.0,0.0,1.0,1.0,1.0,15.0,8,1.0,10.0,4.0,5.0,20.0,20.0,109.0,26.8,36.0,167.0,204.0,0.0,19.0,26.0,45.0,0.0,1367.0,51.0,140.0,34.1,16.0,6.0,579.0,10.0,69.0,36.0,1606.0,1044.0,65.0,167.0,0,45,2,0,0,147,290,154,65.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josema,es ESP,DF,Elche,La Liga,25,1996.0,6,1,183,2.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.05,0.05,0.0,0.05,0.0,0.0,,0.0,0.0,,,,0,,0.0,0.0,36,61,59.0,742.0,330.0,12.0,16,75.0,18.0,26,69.2,6.0,18.0,33.3,-0.1,1.0,2.0,0.0,0.0,1.0,41.0,20.0,0.0,10.0,0.0,2,0,0.0,0.0,0.0,22.0,14.0,25.0,39.0,3.0,1.0,16.0,1.0,0,4.0,8,1.0,1.0,0.49,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2,1.0,1.0,1.0,0.0,0.0,1.0,7.0,33.3,16.0,4.0,1.0,0.0,0.0,6.0,11.0,0.0,82.0,13.0,0.0,,0.0,0.0,35.0,0.0,2.0,0.0,32.0,31.0,96.9,0.0,0,3,0,1,0,14,4,7,36.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenny Joseph,fr FRA,FW,Metz,Ligue 1,21,2000.0,5,0,104,1.2,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0,,0.0,0.0,12,18,66.7,168.0,16.0,8.0,10,80.0,4.0,6,66.7,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0,4.0,0.0,0,0,0.0,0.0,0.0,12.0,3.0,3.0,5.0,10.0,1.0,1.0,0.0,0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2,0.0,2.0,0.0,0.0,0.0,1.0,8.0,20.5,5.0,21.0,13.0,0.0,3.0,2.0,0.0,0.0,39.0,0.0,2.0,100.0,1.0,0.0,19.0,0.0,8.0,6.0,60.0,26.0,43.3,6.0,0,2,0,0,0,4,3,7,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diogo Jota,pt POR,FW,Liverpool,Premier League,25,1996.0,29,22,1930,21.4,15,2,15,0,0,2,0,0.7,0.09,0.79,0.7,0.79,14.5,14.5,4.4,18.9,0.68,0.21,0.88,0.68,0.88,76.0,29.0,38.2,3.54,1.35,0.2,0.52,11.4,0,0.19,0.5,0.5,464,628,73.9,7526.0,1794.0,232.0,294,78.9,190.0,234,81.2,30.0,55.0,54.5,-2.4,31.0,41.0,26.0,2.0,59.0,621.0,7.0,6.0,120.0,7.0,15,0,0.0,0.0,0.0,459.0,100.0,69.0,171.0,407.0,27.0,1.0,7.0,4,12.0,27,32.0,70.0,3.26,45.0,0.0,12.0,7,4.0,11.0,0.51,4.0,0.0,4.0,1.0,2.0,0.0,29.0,17,11.0,12.0,6.0,8.0,21.1,30.0,134.0,27.6,79.0,199.0,208.0,0.0,14.0,43.0,6.0,0.0,929.0,15.0,147.0,44.3,33.0,8.0,652.0,20.0,49.0,42.0,1144.0,714.0,62.4,183.0,0,35,2,0,0,109,32,81,28.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stevan Jovetić,me MNE,FW,Hertha_Berlin,Bundesliga,32,1989.0,17,13,1014,11.3,6,1,6,0,0,3,0,0.53,0.09,0.62,0.53,0.62,4.4,4.4,2.3,6.7,0.39,0.21,0.59,0.39,0.59,44.0,16.0,36.4,3.91,1.42,0.14,0.38,18.0,6,0.1,1.6,1.6,264,375,70.4,4126.0,1338.0,160.0,196,81.6,72.0,106,67.9,24.0,42.0,57.1,-1.3,17.0,29.0,18.0,3.0,39.0,358.0,17.0,3.0,98.0,9.0,8,1,0.0,0.0,0.0,215.0,68.0,92.0,30.0,294.0,27.0,0.0,5.0,3,8.0,27,17.0,37.0,3.28,27.0,1.0,2.0,2,2.0,3.0,0.27,1.0,1.0,0.0,0.0,0.0,1.0,5.0,3,1.0,2.0,2.0,3.0,37.5,5.0,26.0,20.6,24.0,46.0,56.0,0.0,5.0,9.0,8.0,0.0,520.0,11.0,51.0,37.9,16.0,4.0,325.0,6.0,14.0,26.0,585.0,407.0,69.6,75.0,0,10,0,0,0,56,24,26,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luka Jović,rs SRB,FW,Real_Madrid,La Liga,24,1997.0,13,0,293,3.3,1,2,1,0,0,0,0,0.31,0.61,0.92,0.31,0.92,1.9,1.9,0.8,2.7,0.59,0.25,0.83,0.59,0.83,13.0,3.0,23.1,3.99,0.92,0.08,0.33,13.2,0,0.15,-0.9,-0.9,43,56,76.8,669.0,107.0,26.0,32,81.3,11.0,15,73.3,3.0,3.0,100.0,1.2,4.0,2.0,2.0,0.0,5.0,54.0,2.0,0.0,19.0,2.0,1,0,0.0,0.0,0.0,34.0,12.0,10.0,14.0,30.0,4.0,0.0,2.0,0,1.0,0,1.0,9.0,2.76,5.0,1.0,1.0,0,0.0,2.0,0.61,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,0.0,0.0,,0.0,4.0,12.1,1.0,16.0,16.0,0.0,2.0,2.0,3.0,0.0,101.0,3.0,20.0,70.0,7.0,0.0,65.0,1.0,11.0,6.0,129.0,77.0,59.7,19.0,0,3,0,0,0,14,9,7,56.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
