Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Gls,Ast,G-PK,PK,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,xG,npxG,xA,npxG+xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA.1,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,Recov,Won,Lost,Won%
Diant Ramaj,de GER,GK,Eint Frankfurt,de Bundesliga,20,2001,1,1,90,1.0,1,1.00,4,3,75.0,0,1,0,0,0.0,0,0,0,0,,0,0,0,0.9,0.22,-0.1,-0.14,5,17,29.4,36,6,38.9,35.7,4,75.0,49.0,20,3,15.0,2,2.00,17.4,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,5,0,0,
Aaron Ramsdale,eng ENG,GK,Arsenal,eng Premier League,23,1998,29,29,2610,29.0,31,1.07,106,75,74.5,18,3,8,12,41.4,5,4,0,1,0.0,0,1,0,25.5,0.22,-4.5,-0.16,157,433,36.3,803,134,40.0,37.0,157,71.3,56.6,211,20,9.5,29,1.04,16.1,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,6,0,0,0,0,0,0,148,0,1,0.0
David Raya,es ESP,GK,Brentford,eng Premier League,26,1995,20,20,1800,20.0,20,1.00,81,61,76.5,8,5,7,7,35.0,1,1,0,0,0.0,1,2,0,20.6,0.24,+0.6,+0.03,201,468,42.9,685,92,52.1,42.0,159,69.8,52.1,188,14,7.4,23,1.21,15.6,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,2,0,0,0,0,0,0,100,0,0,
Manolo Reina,es ESP,GK,Mallorca,es La Liga,37,1985,18,18,1620,18.0,25,1.39,64,40,64.1,4,8,6,6,33.3,3,2,1,0,33.3,0,1,1,21.6,0.30,-2.4,-0.13,107,299,35.8,393,66,54.2,44.2,152,56.6,43.5,161,10,6.2,11,0.61,15.0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.02,0.02,0.00,0.02,0,0,6,0,0,0,0,0,0,84,0,0,
Pepe Reina,es ESP,GK,Lazio,it Serie A,39,1982,15,15,1350,15.0,29,1.93,56,30,55.4,6,4,5,2,13.3,5,4,0,1,0.0,0,2,0,24.2,0.37,-4.8,-0.32,99,182,54.4,426,70,35.0,33.2,99,33.3,32.1,120,6,5.0,10,0.67,13.9,0,1,0,0,3,0,0.00,0.07,0.07,0.00,0.07,0.0,0.0,0.3,0.3,0.00,0.02,0.02,0.00,0.02,0,1,1,0,0,0,1,0,1,61,0,0,
Álex Remiro,es ESP,GK,Real Sociedad,es La Liga,27,1995,30,30,2700,30.0,26,0.87,85,61,72.9,13,10,7,18,60.0,4,3,1,0,25.0,1,4,0,27.9,0.29,+1.9,+0.06,224,470,47.7,860,105,40.6,36.0,212,57.1,47.1,260,19,7.3,30,1.00,16.0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,3,0,0,0,0,0,0,139,0,0,
Sergio Rico,es ESP,GK,Mallorca,es La Liga,28,1993,12,12,1080,12.0,21,1.75,40,24,55.0,4,0,8,1,8.3,4,3,1,0,25.0,0,3,2,16.2,0.33,-2.8,-0.23,89,183,48.6,233,39,56.2,44.6,76,68.4,51.8,109,4,3.7,4,0.33,12.4,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,54,0,0,
Sergio Rico,es ESP,GK,Paris S-G,fr Ligue 1,28,1993,1,0,23,0.3,1,3.91,3,2,66.7,0,0,0,0,,0,0,0,0,,0,0,0,1.1,0.41,+0.1,+0.52,2,3,66.7,8,1,37.5,32.3,0,,,4,0,0.0,1,3.91,18.3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,2,0,0,
Manuel Riemann,de GER,GK,Bochum,de Bundesliga,33,1988,28,28,2520,28.0,39,1.39,134,98,70.9,8,6,14,7,25.0,3,0,2,1,100.0,1,5,4,45.1,0.33,+10.1,+0.36,505,1043,48.4,1248,89,70.7,49.6,219,73.5,52.7,236,25,10.6,48,1.71,17.6,0,1,0,0,2,0,0.00,0.04,0.04,0.00,0.04,0.8,0.0,0.7,0.7,0.03,0.02,0.05,0.00,0.02,0,0,3,0,0,1,0,0,0,173,0,0,
Leonardo Román,es ESP,GK,Mallorca,es La Liga,21,2000,2,2,180,2.0,5,2.50,13,10,69.2,0,0,2,0,0.0,1,1,0,0,0.0,0,0,1,3.1,0.19,-0.9,-0.43,12,32,37.5,53,6,47.2,39.7,16,43.8,38.7,21,2,9.5,3,1.50,17.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,9,0,0,
