Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,xG,npxG,xA,npxG+xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA.1,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,A-xA,KP,1/3,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,Drib.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Past,Succ,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog.1,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Brais Méndez,es ESP,MF,Celta Vigo,es La Liga,25,1997,32,31,2600,28.9,4,5,4,0,0,7,0,0.14,0.17,0.31,0.14,0.31,3.8,3.8,2.5,6.3,0.13,0.09,0.22,0.13,0.22,48,14,29.2,1.66,0.48,0.08,0.29,19.1,3,0.08,+0.2,+0.2,1049,1319,79.5,17433,4652,554,634,87.4,346,420,82.4,106,170,62.4,+2.5,28,116,36,8,118,1295,24,4,216,31,37,1,0,1,0,942,188,189,1059,147,49,15,9,7,32,51,43,60,2.08,50,0,1,3,2,10,0.35,8,0,1,0,0,1,62,36,23,27,12,20,30.8,45,199,30.3,173,307,177,0,51,107,31,0,1734,49,74,47.1,36,10,1172,7,59,43,1547,1243,80.3,125,0,75,0,0,0,228,56,55,50.5
Édgar Méndez,es ESP,"FW,MF",Alavés,es La Liga,32,1990,29,15,1426,15.8,1,1,1,0,0,4,0,0.06,0.06,0.13,0.06,0.13,2.1,2.1,1.6,3.7,0.13,0.10,0.23,0.13,0.23,25,8,32.0,1.58,0.50,0.04,0.13,17.7,0,0.08,-1.1,-1.1,233,382,61.0,4215,1256,122,169,72.2,79,119,66.4,29,62,46.8,-0.6,17,9,17,13,27,367,15,0,102,21,42,1,0,0,0,192,73,117,63,238,40,9,1,1,15,14,25,30,1.89,23,0,2,1,2,1,0.06,1,0,0,0,0,0,29,15,9,13,7,10,37.0,17,86,25.6,65,164,107,0,16,44,16,0,565,14,39,46.9,15,0,335,5,36,19,602,370,61.5,75,0,50,0,0,0,94,38,47,44.7
Arial Mendy,sn SEN,"DF,FW",Clermont Foot,fr Ligue 1,27,1994,15,8,730,8.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,1.6,2.0,0.05,0.20,0.24,0.05,0.24,10,3,30.0,1.23,0.37,0.00,0.00,21.6,0,0.04,-0.4,-0.4,289,367,78.7,4854,1644,160,179,89.4,94,120,78.3,32,53,60.4,-1.6,9,13,9,5,24,322,45,2,48,13,20,0,0,0,0,231,69,67,215,88,11,45,3,1,14,8,17,14,1.73,12,1,1,0,0,0,0.00,0,0,0,0,0,0,11,7,8,3,0,8,47.1,9,20,21.7,31,35,26,0,7,23,9,0,448,24,18,21.1,4,2,303,9,11,5,349,298,85.4,20,0,6,0,0,0,55,9,7,56.3
Batista Mendy,fr FRA,"MF,DF",Angers,fr Ligue 1,22,2000,29,24,2145,23.8,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.4,0.9,0.02,0.02,0.04,0.02,0.04,13,5,38.5,0.55,0.21,0.00,0.00,21.3,0,0.03,-0.4,-0.4,994,1139,87.3,19947,5593,331,369,89.7,505,549,92.0,140,193,72.5,-0.4,5,70,6,0,79,1110,29,2,152,26,2,0,0,0,0,945,69,125,131,961,30,1,5,1,10,33,14,19,0.80,14,0,1,2,1,0,0.00,0,0,0,0,0,0,42,31,21,17,4,16,43.2,21,118,32.3,152,175,38,0,43,84,42,0,1363,95,12,59.3,17,1,975,0,13,20,986,945,95.8,17,0,43,0,1,2,192,21,30,41.2
Benjamin Mendy,fr FRA,DF,Manchester City,eng Premier League,27,1994,1,1,78,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.30,0.30,0.00,0.30,0,0,,0.00,0.00,,,,0,,0.0,0.0,73,87,83.9,1355,452,26,30,86.7,38,38,100.0,8,14,57.1,-0.3,2,6,1,1,8,75,12,0,1,3,4,0,0,0,0,61,16,10,74,2,3,8,0,0,0,1,6,4,4.62,4,0,0,0,0,0,0.00,0,0,0,0,0,0,3,1,1,1,1,2,50.0,2,2,16.7,3,8,1,0,0,3,3,0,94,0,1,50.0,1,1,69,0,0,1,72,69,95.8,1,0,3,0,0,0,7,2,2,50.0
Edouard Mendy,sn SEN,GK,Chelsea,eng Premier League,30,1992,27,27,2430,27.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,0,,0.0,0.0,612,757,80.8,14666,8167,176,178,98.9,270,276,97.8,151,287,52.6,0.0,0,1,0,0,0,575,182,0,91,17,0,0,0,0,0,508,35,214,67,571,1,0,98,0,15,7,2,1,0.04,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,33.3,3,0,0,0,0,0,1,4,818,726,0,,0,0,413,0,1,0,432,430,99.5,0,0,1,0,1,0,96,0,0,
Ferland Mendy,fr FRA,DF,Real Madrid,es La Liga,26,1995,19,18,1552,17.2,1,1,1,0,0,4,0,0.06,0.06,0.12,0.06,0.12,0.9,0.9,1.2,2.0,0.05,0.07,0.12,0.05,0.12,10,4,40.0,0.58,0.23,0.10,0.25,19.8,0,0.09,+0.1,+0.1,1137,1239,91.8,17248,5101,660,694,95.1,367,397,92.4,77,92,83.7,-0.2,17,64,15,4,62,1098,141,1,140,16,24,0,0,0,0,979,191,69,828,258,11,127,6,1,11,23,24,45,2.61,41,1,2,1,0,2,0.12,1,0,0,0,1,0,24,15,14,8,2,9,47.4,10,47,37.0,62,42,23,0,26,50,17,0,1401,67,36,64.4,29,3,1047,12,14,14,1090,1027,94.2,59,0,13,1,1,0,120,9,15,37.5
Nampalys Mendy,sn SEN,MF,Leicester City,eng Premier League,29,1992,8,7,607,6.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,0,,0.0,0.0,330,351,94.0,5807,881,145,151,96.0,147,155,94.8,31,34,91.2,0.0,1,20,0,0,10,343,8,0,45,9,0,0,0,0,0,310,24,17,32,308,6,0,1,0,4,3,5,2,0.35,2,0,0,0,0,1,0.17,1,0,0,0,0,0,9,7,5,4,0,3,33.3,6,25,35.2,30,33,8,0,6,17,6,0,400,16,0,20.0,3,0,295,0,2,8,305,296,97.0,3,0,16,0,0,0,61,4,4,50.0
Gideon Mensah,gh GHA,DF,Bordeaux,fr Ligue 1,23,1998,20,11,1049,11.7,0,2,0,0,0,1,0,0.00,0.17,0.17,0.00,0.17,0.4,0.4,1.5,1.9,0.03,0.13,0.16,0.03,0.16,2,0,0.0,0.17,0.00,0.00,,11.5,0,0.20,-0.4,-0.4,567,689,82.3,9968,3257,261,291,89.7,255,295,86.4,42,76,55.3,+0.5,16,36,17,11,43,585,104,0,88,17,35,1,0,0,0,443,143,103,500,63,16,94,4,0,12,18,27,28,2.40,24,1,1,0,2,5,0.43,4,0,1,0,0,0,33,13,19,9,5,11,42.3,15,63,33.2,80,71,39,0,9,57,16,0,794,28,14,72.0,19,1,515,2,12,9,540,488,90.4,34,0,15,0,2,0,103,15,10,60.0
Jorge Meré,es ESP,DF,Köln,de Bundesliga,25,1997,8,5,490,5.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,0,0,,0.00,0.00,,,,0,,0.0,0.0,260,300,86.7,6567,1934,42,51,82.4,141,151,93.4,74,93,79.6,0.0,1,25,1,0,26,289,11,0,32,11,1,0,0,0,0,221,20,59,40,233,20,0,0,1,5,8,3,4,0.73,3,1,0,0,0,0,0.00,0,0,0,0,0,0,7,3,3,3,1,3,33.3,6,15,31.9,27,18,2,0,5,20,34,1,362,59,0,0.0,0,0,216,0,1,1,222,222,100.0,1,0,5,0,0,0,61,18,9,66.7
Alex Meret,it ITA,GK,Napoli,it Serie A,25,1997,5,5,450,5.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,0,,0.0,0.0,107,119,89.9,2590,1338,28,28,100.0,42,43,97.7,35,46,76.1,0.0,0,0,0,0,0,90,29,0,9,2,0,1,0,1,0,75,13,31,70,20,0,0,29,0,1,1,0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.0,1,0,0,0,0,0,0,0,126,109,0,,0,0,56,0,0,0,62,62,100.0,0,0,0,0,0,0,12,0,0,
Fran Mérida,es ESP,MF,Espanyol,es La Liga,32,1990,7,2,168,1.9,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.1,0.03,0.04,0.07,0.03,0.07,2,0,0.0,1.07,0.00,0.00,,15.7,0,0.03,-0.1,-0.1,80,117,68.4,1701,603,27,37,73.0,35,42,83.3,16,33,48.5,-0.1,2,19,2,0,9,110,7,0,14,4,0,3,2,1,0,61,20,36,88,19,8,0,1,1,2,11,3,4,2.14,3,1,0,0,0,0,0.00,0,0,0,0,0,0,4,1,3,1,0,3,75.0,1,3,10.0,14,10,6,0,2,7,3,0,136,4,2,66.7,2,0,86,0,1,1,87,82,94.3,4,0,6,0,0,0,30,1,5,16.7
Mikel Merino,es ESP,MF,Real Sociedad,es La Liga,25,1996,29,28,2441,27.1,3,2,3,0,0,7,0,0.11,0.07,0.18,0.11,0.18,3.7,3.7,3.2,6.9,0.14,0.12,0.25,0.14,0.25,37,11,29.7,1.36,0.41,0.08,0.27,17.5,0,0.10,-0.7,-0.7,1160,1480,78.4,20673,6887,546,648,84.3,448,537,83.4,139,227,61.2,-1.2,22,142,31,3,157,1453,27,4,346,38,17,0,0,0,0,1062,173,245,1205,135,57,2,5,10,21,59,45,63,2.32,46,0,3,7,3,10,0.37,5,0,0,3,2,0,65,45,20,37,8,17,34.7,32,146,30.5,126,256,97,0,39,98,53,1,1838,95,74,57.6,21,1,1242,5,28,49,1426,1290,90.5,71,0,59,2,1,0,287,95,71,57.2
Quentin Merlin,fr FRA,DF,Nantes,fr Ligue 1,19,2002,23,17,1542,17.1,1,3,1,0,0,0,0,0.06,0.18,0.23,0.06,0.23,0.2,0.2,2.5,2.7,0.01,0.14,0.16,0.01,0.16,8,3,37.5,0.47,0.18,0.13,0.33,24.0,1,0.03,+0.8,+0.8,799,1067,74.9,14674,6827,384,435,88.3,301,374,80.5,106,217,48.8,+0.5,25,87,24,13,104,841,226,1,93,46,64,29,11,16,1,603,204,260,794,66,26,173,1,4,23,54,35,45,2.63,26,14,3,2,0,5,0.29,5,0,0,0,0,0,49,25,24,20,5,25,52.1,23,81,26.3,125,136,47,1,29,80,20,0,1227,33,10,56.3,21,4,763,3,11,9,813,731,89.9,27,0,9,0,0,0,116,8,26,23.5
Martín Merquelanz,es ESP,FW,Rayo Vallecano,es La Liga,26,1995,4,3,173,1.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.7,0.8,0.08,0.36,0.43,0.08,0.43,2,0,0.0,1.04,0.00,0.00,,20.0,1,0.07,-0.1,-0.1,49,69,71.0,892,292,21,27,77.8,22,24,91.7,5,12,41.7,-0.7,6,2,6,2,7,62,7,0,12,5,4,3,2,1,0,43,7,19,49,10,5,0,1,0,3,3,4,7,3.64,5,2,0,0,0,0,0.00,0,0,0,0,0,0,3,2,3,0,0,3,50.0,3,5,16.7,6,14,10,0,3,3,1,0,92,2,4,58.3,7,1,67,1,4,5,69,60,87.0,9,0,2,0,0,0,15,4,5,44.4
Yıldırım Mert Çetin,tr TUR,DF,Hellas Verona,it Serie A,25,1997,2,0,46,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,0,,0.0,0.0,25,33,75.8,498,275,9,11,81.8,14,17,82.4,2,3,66.7,0.0,0,3,0,0,3,22,11,0,4,0,0,0,0,0,0,10,13,10,2,16,2,11,0,0,0,1,4,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,1,0,1,0,0,0,,0,1,16.7,2,3,1,0,2,1,2,0,44,4,0,0.0,0,0,19,0,1,1,25,22,88.0,1,0,0,0,0,0,5,2,2,50.0
Dries Mertens,be BEL,"FW,MF",Napoli,it Serie A,34,1987,25,12,1055,11.7,8,0,7,1,1,1,0,0.68,0.00,0.68,0.60,0.60,4.0,3.2,1.0,4.2,0.34,0.09,0.43,0.28,0.36,34,14,41.2,2.90,1.19,0.21,0.50,17.8,3,0.09,+4.0,+3.8,290,393,73.8,4533,892,163,196,83.2,100,128,78.1,18,44,40.9,-1.0,19,18,9,1,28,375,18,1,66,9,11,10,3,5,0,268,54,71,30,338,13,2,7,1,6,17,19,43,3.67,29,2,3,3,2,6,0.51,1,0,1,2,1,1,8,8,1,5,2,2,12.5,14,72,29.6,17,107,119,0,4,14,2,0,508,6,77,50.0,9,2,325,14,17,10,555,401,72.3,78,0,23,1,0,0,49,4,17,19.0
Illan Meslier,fr FRA,GK,Leeds United,eng Premier League,22,2000,32,32,2844,31.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,0,,0.0,0.0,863,1149,75.1,21344,10177,190,191,99.5,445,451,98.7,222,500,44.4,0.0,0,0,0,0,0,852,297,0,82,26,0,0,0,0,0,692,53,404,741,177,1,0,213,4,37,10,1,2,0.06,1,1,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,40.0,5,0,0,0,0,0,2,1,1249,1103,0,100.0,2,0,674,0,3,0,617,616,99.8,0,0,0,0,0,0,131,0,0,
Lionel Messi,ar ARG,"FW,MF",Paris S-G,fr Ligue 1,34,1987,22,20,1793,19.9,4,13,4,0,0,0,0,0.20,0.65,0.85,0.20,0.85,7.4,7.4,7.3,14.7,0.39,0.39,0.78,0.39,0.78,71,22,31.0,3.56,1.10,0.06,0.18,18.5,14,0.10,-4.4,-4.4,1071,1281,83.6,18503,6228,551,625,88.2,371,418,88.8,123,171,71.9,+5.7,54,154,75,4,209,1216,65,18,232,39,16,32,13,2,0,1021,134,126,1160,104,8,3,2,13,8,67,31,122,6.45,87,8,11,7,2,21,1.11,14,2,3,1,0,1,7,5,1,4,2,3,21.4,11,42,24.1,14,69,91,0,4,18,0,0,1499,2,93,63.7,64,8,1222,22,28,49,1525,1315,86.2,104,0,8,0,0,0,90,4,2,66.7
Junior Messias,br BRA,"FW,MF",Milan,it Serie A,30,1991,22,12,1238,13.8,5,0,5,0,0,2,0,0.36,0.00,0.36,0.36,0.36,3.1,3.1,1.4,4.5,0.23,0.10,0.33,0.23,0.33,39,16,41.0,2.84,1.16,0.13,0.31,17.5,0,0.08,+1.9,+1.9,317,471,67.3,5017,1522,171,224,76.3,104,155,67.1,31,68,45.6,-1.4,14,23,15,5,43,444,27,1,94,11,29,14,9,1,1,298,74,99,368,44,27,8,2,1,14,26,18,38,2.76,24,1,4,2,2,1,0.07,0,0,0,1,0,0,33,23,12,13,8,11,37.9,18,67,27.7,54,83,105,0,14,60,11,0,688,22,68,47.2,27,2,467,19,31,31,598,461,77.1,103,0,24,0,1,0,97,26,33,44.1
Thomas Meunier,be BEL,DF,Dortmund,de Bundesliga,30,1991,17,17,1402,15.6,2,4,2,0,0,4,0,0.13,0.26,0.39,0.13,0.39,1.3,1.3,2.6,3.9,0.08,0.17,0.25,0.08,0.25,19,6,31.6,1.22,0.39,0.11,0.33,14.1,0,0.07,+0.7,+0.7,898,1152,78.0,16457,6541,381,431,88.4,412,512,80.5,91,168,54.2,+1.4,14,56,24,13,105,1012,140,2,143,19,47,0,0,0,0,697,215,240,104,843,50,133,2,6,15,50,34,28,1.80,24,0,0,2,0,7,0.45,6,0,0,0,1,0,34,23,11,14,9,16,53.3,14,58,38.4,66,61,24,0,14,54,26,1,1296,41,29,68.8,12,0,827,4,13,15,916,863,94.2,43,0,29,0,0,0,169,33,12,73.3
Mexer,mz MOZ,DF,Bordeaux,fr Ligue 1,33,1988,16,14,1227,13.6,1,0,1,0,0,2,0,0.07,0.00,0.07,0.07,0.07,0.4,0.4,0.0,0.4,0.03,0.00,0.03,0.03,0.03,5,1,20.0,0.37,0.07,0.20,1.00,15.7,0,0.07,+0.6,+0.6,579,683,84.8,13866,4068,134,142,94.4,297,324,91.7,142,203,70.0,0.0,0,26,1,0,19,655,28,1,61,33,2,0,0,0,0,523,39,121,97,551,15,5,3,2,10,13,8,5,0.37,4,0,0,0,0,0,0.00,0,0,0,0,0,0,17,13,13,4,0,8,42.1,11,27,38.6,51,15,4,0,10,46,74,0,819,138,6,50.0,2,0,538,1,2,4,530,526,99.2,0,0,6,0,1,0,114,26,26,50.0
Marco Meyerhöfer,de GER,DF,Greuther Fürth,de Bundesliga,26,1995,26,25,2280,25.3,1,0,1,0,0,0,0,0.04,0.00,0.04,0.04,0.04,0.9,0.9,0.8,1.7,0.03,0.03,0.07,0.03,0.07,10,2,20.0,0.39,0.08,0.10,0.50,17.1,0,0.09,+0.1,+0.1,894,1199,74.6,15402,7146,435,486,89.5,345,457,75.5,93,186,50.0,-0.8,18,80,8,3,102,904,295,0,143,11,26,0,0,0,0,567,325,307,68,777,60,277,2,5,19,41,49,34,1.34,27,1,2,1,2,1,0.04,1,0,0,0,0,0,51,23,24,20,7,21,48.8,22,91,33.5,117,105,50,0,41,119,79,1,1521,116,23,54.1,20,1,733,5,25,14,753,689,91.5,27,0,23,0,1,1,240,28,28,50.0
Matt Miazga,us USA,DF,Alavés,es La Liga,26,1995,11,9,833,9.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.4,0.03,0.01,0.04,0.03,0.04,7,3,42.9,0.76,0.32,0.00,0.00,11.9,0,0.04,-0.3,-0.3,236,301,78.4,5819,1965,56,69,81.2,115,128,89.8,64,103,62.1,-0.1,1,6,0,0,12,283,18,0,38,16,0,0,0,0,0,187,32,82,34,222,31,0,1,0,12,11,3,4,0.43,1,0,0,0,1,0,0.00,0,0,0,0,0,0,12,8,7,5,0,5,55.6,4,30,42.9,43,26,1,0,10,22,61,1,407,92,12,,0,0,188,0,0,1,209,202,96.7,1,0,8,0,0,0,78,38,10,79.2
Kingsley Michael,ng NGA,MF,Bologna,it Serie A,22,1999,2,1,76,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,1,1,100.0,1.18,1.18,0.00,0.00,37.9,0,0.01,0.0,0.0,24,28,85.7,426,69,13,14,92.9,5,7,71.4,5,6,83.3,0.0,0,3,0,0,2,28,0,0,5,0,0,0,0,0,0,25,3,0,0,27,0,0,1,0,0,1,0,1,1.18,1,0,0,0,0,0,0.00,0,0,0,0,0,0,2,2,2,0,0,1,50.0,1,6,31.6,9,9,1,0,3,3,1,0,37,2,0,,0,0,24,0,0,0,25,23,92.0,0,0,0,0,0,0,6,0,3,0.0
Sven Michel,de GER,FW,Union Berlin,de Bundesliga,31,1990,10,2,281,3.1,2,1,2,0,0,1,0,0.64,0.32,0.96,0.64,0.96,0.5,0.5,0.6,1.2,0.18,0.20,0.38,0.18,0.38,7,2,28.6,2.24,0.64,0.29,1.00,19.0,0,0.08,+0.5,+0.5,62,96,64.6,990,208,32,42,76.2,17,31,54.8,9,13,69.2,+0.4,4,2,3,2,7,91,5,0,32,1,7,0,0,0,0,53,25,18,50,20,7,1,4,0,2,4,4,8,2.62,7,0,1,0,0,0,0.00,0,0,0,0,0,0,7,5,2,5,0,2,33.3,4,21,30.0,15,30,25,0,8,7,0,0,148,0,13,33.3,4,0,79,3,11,9,150,102,68.0,38,0,10,0,0,0,22,15,19,44.1
Edouard Michut,fr FRA,MF,Paris S-G,fr Ligue 1,19,2003,4,0,47,0.5,0,1,0,0,0,0,1,0.00,1.91,1.91,0.00,1.91,0.0,0.0,0.1,0.1,0.00,0.23,0.23,0.00,0.23,0,0,,0.00,0.00,,,,0,,0.0,0.0,37,40,92.5,509,107,24,25,96.0,11,11,100.0,2,2,100.0,+0.9,1,1,0,0,0,38,2,0,8,0,0,0,0,0,0,39,1,0,1,39,0,0,0,0,0,2,1,3,5.74,3,0,0,0,0,1,1.91,1,0,0,0,0,0,0,0,0,0,0,0,,0,3,37.5,2,4,2,0,1,0,2,0,47,1,2,100.0,1,0,35,0,0,0,41,39,95.1,3,0,0,0,0,0,1,0,1,0.0
Miguel,es ESP,"FW,MF",Alavés,es La Liga,22,1999,19,7,609,6.8,0,1,0,0,0,1,0,0.00,0.15,0.15,0.00,0.15,1.6,1.6,0.3,1.8,0.23,0.04,0.27,0.23,0.27,16,2,12.5,2.36,0.30,0.00,0.00,14.2,0,0.10,-1.6,-1.6,90,132,68.2,1300,154,50,64,78.1,29,38,76.3,4,11,36.4,+0.7,5,2,1,1,2,125,7,0,34,1,5,0,0,0,0,86,24,22,12,98,10,0,5,2,1,5,9,15,2.22,8,0,1,4,1,3,0.44,1,0,0,0,1,1,8,6,1,5,2,4,30.8,9,39,24.2,22,67,72,0,4,9,7,0,227,4,36,30.8,6,1,139,8,23,11,344,156,45.3,38,0,12,1,0,0,31,11,43,20.4
Valentin Mihaila,ro ROU,"FW,MF",Atalanta,it Serie A,22,2000,4,0,75,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.03,0.00,0.03,0.03,0.03,1,1,100.0,1.20,1.20,0.00,0.00,21.3,0,0.03,0.0,0.0,13,30,43.3,154,26,11,15,73.3,2,6,33.3,0,3,0.0,0.0,0,0,0,0,0,30,0,0,6,1,4,0,0,0,0,21,3,6,4,22,2,0,0,1,1,2,3,1,1.20,1,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,0,4,25.0,1,5,10,0,2,0,1,0,42,0,6,0.0,0,1,25,5,3,3,43,31,72.1,3,0,2,0,0,0,6,2,4,33.3
Mikael,br BRA,"FW,MF",Salernitana,it Serie A,22,1999,7,0,86,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.18,0.00,0.18,0.18,0.18,3,0,0.0,3.14,0.00,0.00,,14.7,0,0.06,-0.2,-0.2,11,17,64.7,130,25,8,9,88.9,1,4,25.0,1,2,50.0,0.0,0,1,0,0,0,17,0,0,10,1,0,0,0,0,0,9,7,1,13,0,0,0,0,0,1,1,1,2,2.09,1,0,0,0,0,0,0.00,0,0,0,0,0,0,1,1,0,1,0,0,,0,3,18.8,1,9,6,0,0,1,1,0,33,1,2,0.0,1,0,20,0,7,1,62,29,46.8,4,0,3,0,0,0,2,5,12,29.4
Georges Mikautadze,ge GEO,FW,Metz,fr Ligue 1,21,2000,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,13.93,0.00,13.93,13.93,13.93,2,0,0.0,180.00,0.00,0.00,,19.5,0,0.08,-0.2,-0.2,0,1,0.0,0,0,0,0,,0,0,,0,0,,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,90.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0.0,0,0,1,0,0,1,0,0,4,0,1,,0,0,3,1,0,0,4,3,75.0,0,0,0,0,0,0,0,0,0,
William Mikelbrencis,fr FRA,DF,Metz,fr Ligue 1,18,2004,4,4,300,3.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.03,0.00,0.03,0.03,0.03,5,1,20.0,1.50,0.30,0.00,0.00,26.2,0,0.02,-0.1,-0.1,107,155,69.0,1796,809,60,72,83.3,39,55,70.9,7,26,26.9,0.0,0,8,1,0,11,126,29,0,22,2,6,1,0,1,0,79,35,41,8,114,5,27,0,1,7,7,7,3,0.90,1,0,1,1,0,0,0.00,0,0,0,0,0,0,9,6,5,3,1,2,66.7,1,14,29.2,23,20,5,0,4,15,2,0,192,7,1,40.0,3,0,117,1,3,5,129,113,87.6,3,0,5,0,0,0,25,1,2,33.3
Nikola Milenković,rs SRB,DF,Fiorentina,it Serie A,24,1997,28,28,2431,27.0,1,0,1,0,0,9,1,0.04,0.00,0.04,0.04,0.04,1.9,1.9,0.0,1.9,0.07,0.00,0.07,0.07,0.07,20,8,40.0,0.74,0.30,0.05,0.13,14.8,0,0.09,-0.9,-0.9,1554,1717,90.5,35215,9350,374,420,89.0,846,886,95.5,324,387,83.7,0.0,1,94,0,0,72,1650,67,0,184,74,2,0,0,0,0,1307,192,218,190,1362,86,3,4,1,20,29,13,9,0.33,7,0,0,0,0,1,0.04,1,0,0,0,0,0,38,21,25,8,5,20,66.7,10,87,36.7,112,106,19,0,21,104,78,0,1945,228,23,50.0,2,0,1259,0,7,6,1371,1345,98.1,8,1,41,0,1,0,278,103,31,76.9
Arkadiusz Milik,pl POL,FW,Marseille,fr Ligue 1,28,1994,20,12,1164,12.9,7,1,6,1,1,1,0,0.54,0.08,0.62,0.46,0.54,6.4,5.6,1.9,7.5,0.49,0.15,0.64,0.43,0.58,47,17,36.2,3.63,1.31,0.13,0.35,12.7,2,0.12,+0.6,+0.4,253,309,81.9,3747,426,137,157,87.3,76,89,85.4,16,19,84.2,-0.9,13,10,10,0,16,284,25,3,80,8,2,0,0,0,0,229,53,27,247,28,13,4,7,1,4,9,14,22,1.70,19,0,0,1,1,4,0.31,4,0,0,0,0,0,9,4,0,6,3,4,30.8,9,61,29.9,11,70,123,0,7,12,11,0,445,11,86,37.5,5,1,255,5,24,19,565,334,59.1,114,0,18,0,0,0,39,25,24,51.0
Sergej Milinković-Savić,rs SRB,MF,Lazio,it Serie A,27,1995,32,31,2650,29.4,9,7,9,0,0,5,1,0.31,0.24,0.54,0.31,0.54,6.0,6.0,5.0,10.9,0.20,0.17,0.37,0.20,0.37,62,27,43.5,2.11,0.92,0.15,0.33,16.5,7,0.10,+3.0,+3.0,1642,2013,81.6,27677,6649,829,949,87.4,593,707,83.9,166,255,65.1,+2.0,41,134,42,10,134,1975,38,8,373,39,43,1,0,1,0,1389,332,292,328,1519,76,10,18,8,35,84,40,81,2.75,64,1,2,6,1,14,0.48,13,0,0,1,0,0,51,38,14,27,10,10,20.0,40,130,27.5,118,232,122,0,37,92,45,0,2420,72,119,49.2,32,2,1629,6,67,53,2237,1960,87.6,172,1,57,0,0,0,204,87,65,57.2
