Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Gls,Ast,G-PK,PK,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,xG,npxG,xA,npxG+xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA.1,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,Recov,Won,Lost,Won%
Andreas Luthe,de GER,GK,Union Berlin,Bundesliga,35,1987,25,25,2250,25,36,1.44,99,67,65.7,9,7,9,6,24,2,2,0,0,0,Matches,0,5,3,32.2,0.31,-0.8,-0.03,165,457,36.1,715,109,46.9,39.4,201,60.7,45.2,219,15,6.8,15,0.6,13.9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,140,0,0,
Niki Mäenpää,fi FIN,GK,Venezia,Serie A,37,1985,11,10,945,10.5,16,1.52,35,23,65.7,0,2,8,0,0,5,4,0,1,0,Matches,0,1,0,15.4,0.36,-0.6,-0.06,43,129,33.3,245,47,41.2,37.2,84,33.3,31.5,99,6,6.1,5,0.48,12.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,50,0,0,
Mike Maignan,fr FRA,GK,Milan,Serie A,26,1995,27,27,2430,27,19,0.7,89,72,80.9,17,7,3,14,51.9,2,2,0,0,0,Matches,0,4,1,24.6,0.26,6.6,0.24,174,355,49,821,135,37.5,36,123,38.2,37.2,184,22,12,24,0.89,15.7,0,1,0,0,1,0,0,0.04,0.04,0,0.04,0,0,0.4,0.4,0,0.01,0.01,0,0.01,0,0,8,0,0,0,0,0,0,126,0,0,
Giorgi Mamardashvili,ge GEO,GK,Valencia,La Liga,21,2000,15,15,1350,15,16,1.07,58,44,75.9,5,5,5,7,46.7,2,2,0,0,0,Matches,0,1,0,14.1,0.22,-1.9,-0.13,115,275,41.8,296,51,62.8,46,114,78.1,57.4,146,11,7.5,15,1,14.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,67,0,0,
Steve Mandanda,fr FRA,GK,Marseille,Ligue 1,37,1985,5,5,450,5,5,1,16,11,68.8,3,2,0,2,40,0,0,0,0,,Matches,0,3,1,3.1,0.19,-0.9,-0.18,23,43,53.5,131,20,26,30.9,35,25.7,32.1,49,5,10.2,6,1.2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,
Anthony Mandrea,fr FRA,GK,Angers,Ligue 1,25,1996,4,4,360,4,5,1.25,17,12,70.6,1,2,1,1,25,0,0,0,0,,Matches,0,0,0,5.2,0.32,0.2,0.04,25,74,33.8,73,17,61.6,47.5,39,74.4,54,60,2,3.3,0,0,10.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,23,0,0,
Emiliano Martínez,ar ARG,GK,Aston Villa,Premier League,29,1992,30,30,2700,30,43,1.43,113,74,64.6,11,3,16,9,30,5,3,1,1,25,Matches,2,6,2,34.4,0.28,-6.6,-0.22,163,396,41.2,676,116,43.2,37.7,232,44.8,39.4,229,12,5.2,24,0.8,14.6,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,139,0,1,0
Josep Martinez,es ESP,GK,RB Leipzig,Bundesliga,23,1998,1,1,90,1,3,3,4,1,25,0,0,1,0,0,0,0,0,0,,Matches,0,0,0,1.9,0.48,-1.1,-1.09,2,5,40,15,1,26.7,35.1,7,14.3,34.3,3,0,0,3,3,26.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,
Luís Maximiano,pt POR,GK,Granada,La Liga,23,1999,28,28,2506,27.8,49,1.76,146,102,69.9,6,9,13,4,14.3,7,5,2,0,28.6,Matches,0,8,2,53.5,0.33,5.5,0.19,201,605,33.2,707,135,57.6,45,273,72.5,52.7,321,25,7.8,34,1.18,16,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,164,0,0,
Alex McCarthy,eng ENG,GK,Southampton,Premier League,32,1989,15,15,1350,15,21,1.4,60,38,65,3,7,5,5,33.3,0,0,0,0,,Matches,0,6,0,20.8,0.35,-0.2,-0.02,72,241,29.9,341,61,46.3,39.9,109,76.1,56.8,135,17,12.6,3,0.2,12.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,52,0,0,
Edouard Mendy,sn SEN,GK,Chelsea,Premier League,30,1992,26,26,2340,26,21,0.81,74,58,78.4,16,7,3,12,46.2,5,5,0,0,0,Matches,0,1,1,22,0.24,2,0.08,84,200,42,585,95,26,29.2,137,35,30.5,205,18,8.8,15,0.58,13.6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,94,0,0,
Alex Meret,it ITA,GK,Napoli,Serie A,25,1997,5,5,450,5,3,0.6,19,16,84.2,4,1,0,2,40,0,0,0,0,,Matches,0,0,0,3.5,0.19,0.5,0.11,11,21,52.4,96,29,14.6,26.2,23,30.4,31,36,3,8.3,1,0.2,12.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,12,0,0,
Illan Meslier,fr FRA,GK,Leeds United,Premier League,22,2000,32,32,2844,31.6,68,2.15,179,114,64.8,8,9,15,4,12.5,5,5,0,0,0,Matches,3,10,1,59.5,0.31,-7.5,-0.24,130,395,32.9,919,213,33,31.9,230,40,36.8,193,18,9.3,31,0.98,14.7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,131,0,0,
Vanja Milinković-Savić,rs SRB,GK,Torino,Serie A,25,1997,25,25,2250,25,28,1.12,69,45,65.2,8,6,11,4,16,5,4,1,0,20,Matches,2,3,0,23.9,0.29,-4.1,-0.16,212,646,32.8,794,89,63.6,51,156,90.4,70.1,136,10,7.4,12,0.48,13.8,0,0,0,0,3,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,0,0,0,0,2,2,0,0,0,0,0,2,123,0,0,
Lorenzo Montipò,it ITA,GK,Hellas Verona,Serie A,26,1996,30,30,2700,30,44,1.47,117,74,64.1,12,9,9,4,13.3,2,2,0,0,0,Matches,0,7,2,37.5,0.31,-4.5,-0.15,196,555,35.3,646,109,63.6,46.5,209,68.9,49.1,269,13,4.8,12,0.4,13.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,132,0,0,
Jessy Moulin,fr FRA,GK,Troyes,Ligue 1,36,1986,2,2,180,2,3,1.5,5,3,60,0,1,1,0,0,1,1,0,0,0,Matches,1,0,0,2.3,0.32,-0.7,-0.35,10,32,31.3,43,10,55.8,46.1,16,50,45,16,1,6.3,0,0,11.7,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,8,0,0,
Florian Müller,de GER,GK,Stuttgart,Bundesliga,24,1997,26,26,2340,26,46,1.77,117,75,64.1,6,8,12,4,15.4,4,4,0,0,0,Matches,1,5,1,36.8,0.29,-8.2,-0.31,123,248,49.6,684,131,26.6,30,203,32.5,31.8,245,11,4.5,22,0.85,14.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,134,0,0,
Juan Musso,ar ARG,GK,Atalanta,Serie A,27,1994,27,27,2392,26.6,32,1.2,93,63,66.7,14,6,7,8,29.6,2,1,0,1,0,Matches,0,2,2,27.2,0.29,-2.8,-0.1,140,324,43.2,590,123,33.2,34.1,176,72.7,52.8,174,14,8,21,0.79,15.5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,107,0,0,
Paul Nardi,fr FRA,GK,Lorient,Ligue 1,27,1994,22,22,1980,22,38,1.73,88,56,61.4,3,8,11,4,18.2,5,4,0,1,0,Matches,4,3,2,31.6,0.32,-4.4,-0.2,81,317,25.6,361,75,51,43.3,176,75.6,58.9,209,6,2.9,7,0.32,13.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,82,0,0,
Keylor Navas,cr CRC,GK,Paris S-G,Ligue 1,35,1986,17,17,1504,16.7,15,0.9,69,55,79.7,11,4,2,6,35.3,1,1,0,0,0,Matches,0,2,0,15.6,0.21,0.6,0.04,36,71,50.7,340,84,16.5,27.1,118,12.7,23,127,7,5.5,11,0.66,13.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,82,0,0,
Neto,br BRA,GK,Barcelona,La Liga,32,1989,2,2,180,2,3,1.5,9,6,66.7,1,1,0,0,0,0,0,0,0,,Matches,1,1,0,3,0.33,0,-0.01,19,36,52.8,81,11,42,36.2,16,12.5,28.4,21,1,4.8,2,1,13.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,
Manuel Neuer,de GER,GK,Bayern Munich,Bundesliga,36,1986,25,25,2250,25,21,0.84,80,59,73.8,21,2,2,10,40,0,0,0,0,,Matches,0,1,0,20.3,0.25,-0.7,-0.03,151,254,59.4,942,141,24.5,30.5,149,15.4,27.6,178,12,6.7,39,1.56,20.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,141,0,0,
Alexander Nübel,de GER,GK,Monaco,Ligue 1,25,1996,32,32,2880,32,34,1.06,106,82,74.5,15,8,9,9,28.1,8,7,0,1,0,Matches,0,5,3,35.7,0.28,4.7,0.15,150,374,40.1,732,140,34.3,34.7,231,53.2,44.4,212,9,4.2,17,0.53,14.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,161,0,0,
Jan Oblak,si SVN,GK,Atlético Madrid,La Liga,29,1993,32,32,2880,32,39,1.22,79,47,58.2,18,6,8,9,28.1,7,6,1,0,14.3,Matches,2,3,2,28.8,0.29,-8.2,-0.26,161,510,31.6,674,126,54,43.2,223,65.5,50.1,249,17,6.8,13,0.41,13.7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,148,1,0,100
Oier Olazábal,es ESP,GK,Espanyol,La Liga,32,1989,2,1,135,1.5,1,0.67,7,7,100,0,0,1,1,100,1,1,0,0,0,Matches,0,0,0,2.7,0.26,1.7,1.14,10,29,34.5,33,5,57.6,42.5,10,100,60.4,19,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,
Jonas Omlin,ch SUI,GK,Montpellier,Ligue 1,28,1994,26,26,2317,25.7,32,1.24,134,104,77.6,10,4,12,8,30.8,3,2,1,0,33.3,Matches,0,2,0,33.5,0.23,1.5,0.06,147,349,42.1,731,162,32.6,33.5,246,45.1,40.3,271,20,7.4,15,0.58,13.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,127,0,0,
Stefan Ortega,de GER,GK,Arminia,Bundesliga,29,1992,29,29,2610,29,46,1.59,142,101,72.5,4,11,14,6,20.7,7,7,0,0,0,Matches,1,6,1,49.1,0.31,4.1,0.14,414,869,47.6,1231,70,56.9,45.5,273,61.5,49.9,275,10,3.6,31,1.07,15.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0.4,0.4,0,0.01,0.01,0,0.01,0,0,3,0,0,0,0,0,0,172,0,1,0
David Ospina,co COL,GK,Napoli,Serie A,33,1988,28,28,2520,28,24,0.86,94,72,75.5,16,6,6,11,39.3,1,1,0,0,0,Matches,0,3,1,26,0.27,3,0.11,114,259,44,734,107,31.1,32,136,22.8,26.6,190,16,8.4,18,0.64,14.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,124,0,1,0
