Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Gls,Ast,G-PK,PK,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,xG,npxG,xA,npxG+xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA.1,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,Recov,Won,Lost,Won%
Julen Agirrezabala,es ESP,GK,Athletic Club,La Liga,21,2000,4,4,360,4,5,1.25,20,15,75,1,2,1,1,25,0,0,0,0,,Matches,0,0,0,4.6,0.25,-0.4,-0.1,10,31,32.3,56,10,37.5,36.8,26,38.5,38.3,35,2,5.7,5,1.25,17.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,
Doğan Alemdar,tr TUR,GK,Rennes,Ligue 1,19,2002,9,9,810,9,11,1.22,22,12,54.5,4,1,4,2,22.2,2,1,1,0,50,Matches,0,0,0,8.6,0.33,-2.4,-0.27,45,118,38.1,237,40,29.5,32.9,57,84.2,57.3,86,3,3.5,11,1.22,15.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,
Alisson,br BRA,GK,Liverpool,Premier League,29,1992,30,30,2700,30,20,0.67,80,60,75,22,6,2,18,60,0,0,0,0,,Matches,0,3,1,23.6,0.3,4.6,0.15,142,279,50.9,1013,164,21,29.6,145,45.5,39.8,188,17,9,48,1.6,17.6,0,1,0,0,0,0,0,0.03,0.03,0,0.03,0,0,0.4,0.4,0,0.01,0.01,0,0.01,0,0,5,0,0,0,0,0,0,190,0,0,
Alphonse Areola,fr FRA,GK,West Ham,Premier League,29,1993,1,1,90,1,1,1,3,2,66.7,0,0,1,0,0,0,0,0,0,,Matches,0,0,0,1.2,0.39,0.2,0.17,8,28,28.6,27,3,66.7,49.7,14,71.4,53.2,13,1,7.7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Kepa Arrizabalaga,es ESP,GK,Chelsea,Premier League,27,1994,4,4,360,4,2,0.5,13,11,84.6,2,1,1,2,50,0,0,0,0,,Matches,0,1,0,3.3,0.26,1.3,0.34,16,39,41,118,28,28,30.8,21,28.6,30.2,31,1,3.2,5,1.25,16.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16,0,0,
Sergio Asenjo,es ESP,GK,Villarreal,La Liga,32,1989,5,5,450,5,7,1.4,23,17,73.9,2,2,1,0,0,1,1,0,0,0,Matches,0,0,0,7.4,0.28,0.4,0.08,25,61,41,141,30,29.8,32.9,50,38,39,61,4,6.6,6,1.2,14.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,
Emil Audero,it ITA,GK,Sampdoria,Serie A,25,1997,24,24,2115,23.5,42,1.79,105,65,61,6,4,14,4,16.7,1,1,0,0,0,Matches,1,5,1,35,0.33,-6,-0.26,177,403,43.9,621,89,46.2,39.5,169,68.6,49.3,217,19,8.8,9,0.38,13.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0.4,0.4,0,0.02,0.02,0,0.02,0,0,6,0,0,0,0,0,0,84,0,0,
Daniel Bachmann,at AUT,GK,Watford,Premier League,27,1994,11,11,990,11,26,2.36,61,39,62.3,1,0,10,0,0,3,3,0,0,0,Matches,1,4,2,21.4,0.31,-2.6,-0.23,80,206,38.8,248,40,60.9,47.1,80,68.8,51.5,101,3,3,8,0.73,13.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,51,0,0,
Édgar Badía,es ESP,GK,Elche,La Liga,30,1992,21,21,1890,21,29,1.38,93,69,75.3,8,4,9,5,23.8,8,6,1,1,14.3,Matches,0,6,0,34.2,0.3,5.2,0.25,192,422,45.5,544,80,52,40,189,73.5,51.5,237,18,7.6,20,0.95,16.1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,122,0,0,
Stefan Bajic,fr FRA,GK,Saint-Étienne,Ligue 1,20,2001,7,4,510,5.7,13,2.29,27,16,59.3,0,1,3,0,0,2,2,0,0,0,Matches,1,0,0,13.4,0.43,0.4,0.07,33,86,38.4,141,39,39.7,34.7,44,68.2,50.2,53,1,1.9,9,1.59,15.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,45,0,0,
Oliver Baumann,de GER,GK,Hoffenheim,Bundesliga,31,1990,29,29,2610,29,42,1.45,125,85,67.2,12,6,11,8,27.6,3,1,1,1,50,Matches,0,8,1,42.5,0.34,1.5,0.05,150,407,36.9,1181,153,30.1,32.3,185,27.6,30,241,21,8.7,40,1.38,15.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,199,0,0,
Asmir Begović,ba BIH,GK,Everton,Premier League,34,1987,2,2,180,2,3,1.5,9,7,66.7,1,0,1,1,50,0,0,0,0,,Matches,0,0,1,2.2,0.25,0.2,0.11,13,47,27.7,32,3,87.5,57.3,23,82.6,58.5,12,1,8.3,0,0,14.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,
Vid Belec,si SVN,GK,Salernitana,Serie A,31,1990,21,20,1821,20.2,45,2.22,119,78,64.7,3,2,15,1,5,4,3,0,1,0,Matches,0,6,2,34.9,0.27,-8.1,-0.4,146,340,42.9,376,70,56.6,44.8,170,74.7,53.6,201,10,5,6,0.3,12.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,77,0,0,
Walter Benítez,ar ARG,GK,Nice,Ligue 1,29,1993,31,31,2790,31,27,0.87,112,89,79.5,16,7,8,12,38.7,5,4,1,0,20,Matches,1,1,0,31.9,0.25,4.9,0.16,150,367,40.9,633,127,37,34.1,224,59.4,45.7,273,11,4,19,0.61,14.2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,140,0,0,
Etrit Berisha,al ALB,GK,Torino,Serie A,33,1989,6,6,540,6,3,0.5,21,17,85.7,1,4,1,3,50,0,0,0,0,,Matches,0,0,0,6.8,0.32,3.8,0.63,29,125,23.2,139,22,58.3,46.3,51,86.3,60.9,58,6,10.3,4,0.67,14.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,33,0,0,
Paul Bernardoni,fr FRA,GK,Angers,Ligue 1,25,1997,13,13,1170,13,19,1.46,43,27,62.8,4,5,4,4,30.8,3,3,0,0,0,Matches,2,6,0,14.1,0.27,-4.9,-0.37,55,122,45.1,239,82,32.6,35.2,98,44.9,40.5,134,17,12.7,7,0.54,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,60,0,0,
Paul Bernardoni,fr FRA,GK,Saint-Étienne,Ligue 1,25,1997,13,13,1170,13,18,1.38,54,37,74.1,5,3,5,3,23.1,4,4,0,0,0,Matches,0,3,1,20.2,0.31,-0.8,-0.06,64,216,29.6,296,77,52.7,40.4,86,69.8,49.8,93,11,11.8,21,1.62,16.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,86,0,0,
Dimitry Bertaud,fr FRA,GK,Montpellier,Ligue 1,23,1998,8,6,563,6.3,12,1.92,38,27,68.4,2,2,2,2,33.3,0,0,0,0,,Matches,1,1,1,11.2,0.29,0.2,0.03,47,110,42.7,156,38,47.4,38.5,60,60,46.5,62,9,14.5,1,0.16,12.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,26,0,0,
Marco Bizot,nl NED,GK,Brest,Ligue 1,31,1991,32,32,2880,32,47,1.47,137,94,67.9,10,9,13,5,15.6,3,3,0,0,0,Matches,0,9,2,37.8,0.26,-7.2,-0.23,263,551,47.7,722,160,47.9,40.6,274,74.8,55.5,255,21,8.2,19,0.59,14.8,0,1,0,0,1,0,0,0.03,0.03,0,0.03,0,0,0.3,0.3,0,0.01,0.01,0,0.01,0,0,3,0,0,1,0,0,0,178,0,0,
Yassine Bounou,ma MAR,GK,Sevilla,La Liga,31,1991,26,26,2340,26,19,0.73,78,59,76.9,13,9,4,12,46.2,2,1,1,0,50,Matches,1,5,0,21.9,0.26,2.9,0.11,159,367,43.3,719,88,35,35.8,196,58.7,46.4,207,18,8.7,15,0.58,14.6,0,2,0,0,2,0,0,0.08,0.08,0,0.08,0,0,0.6,0.6,0,0.02,0.02,0,0.02,0,0,2,0,0,0,0,0,0,99,0,1,0
Claudio Bravo,cl CHI,GK,Betis,La Liga,39,1983,15,15,1350,15,19,1.27,53,37,66,8,3,4,4,26.7,1,1,0,0,0,Matches,0,1,2,19.4,0.35,2.4,0.16,101,264,38.3,371,41,54.7,44.7,91,67,51.9,154,3,1.9,8,0.53,13.4,0,0,0,0,2,0,0,0,0,0,0,0,0,0.2,0.2,0,0.01,0.01,0,0.01,0,1,1,0,0,0,0,0,1,61,1,0,100
Fabian Bredlow,de GER,GK,Stuttgart,Bundesliga,27,1995,4,4,360,4,7,1.75,24,17,70.8,0,2,2,0,0,0,0,0,0,,Matches,0,3,0,6.9,0.29,-0.1,-0.01,12,24,50,90,22,23.3,28.7,37,8.1,19.9,38,1,2.6,4,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,21,0,0,
Sascha Burchert,de GER,GK,Greuther Fürth,Bundesliga,32,1989,13,13,1170,13,26,2,67,43,64.2,2,4,7,3,23.1,2,2,0,0,0,Matches,1,4,2,21.3,0.31,-2.7,-0.21,121,316,38.3,395,42,57,45.4,111,82,57.3,134,7,5.2,17,1.31,16.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.01,0.01,0,0.01,0,0,1,0,0,0,0,0,0,77,0,0,
Jack Butland,eng ENG,GK,Crystal Palace,Premier League,29,1993,6,5,495,5.5,9,1.64,16,9,43.8,1,3,1,0,0,1,0,1,0,100,Matches,1,1,2,6.9,0.38,-0.1,-0.02,21,73,28.8,144,23,36.1,33.1,44,47.7,40,57,3,5.3,2,0.36,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18,0,0,
Marcin Bułka,pl POL,GK,Nice,Ligue 1,22,1999,1,1,90,1,1,1,5,4,80,0,0,1,0,0,0,0,0,0,,Matches,0,0,0,1.5,0.29,0.5,0.47,3,4,75,16,6,12.5,20.4,7,28.6,25.9,10,0,0,0,0,18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
Willy Caballero,ar ARG,GK,Southampton,Premier League,40,1981,2,2,180,2,5,2.5,11,6,54.5,0,1,1,0,0,0,0,0,0,,Matches,0,1,0,4.3,0.4,-0.7,-0.36,20,39,51.3,46,0,58.7,42.1,13,92.3,59.1,21,1,4.8,4,2,21.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,
Marc-Aurèle Caillard,fr FRA,GK,Metz,Ligue 1,27,1994,14,13,1173,13,21,1.61,58,38,67.2,2,4,7,4,30.8,2,2,0,0,0,Matches,0,7,0,21.6,0.35,0.6,0.04,85,217,39.2,225,66,50.2,42.6,118,88.1,61,108,3,2.8,6,0.46,13.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,58,0,0,
Cárdenas,es ESP,GK,Levante,La Liga,25,1997,19,19,1710,19,33,1.74,80,49,62.5,4,5,10,5,26.3,3,3,0,0,0,Matches,1,4,0,27,0.3,-6,-0.32,96,259,37.1,431,73,44.8,39.5,154,42.9,37.7,191,11,5.8,11,0.58,13.8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,87,0,0,
Kiko Casilla,es ESP,GK,Elche,La Liga,35,1986,12,12,1080,12,15,1.25,54,39,72.2,2,4,6,3,25,0,0,0,0,,Matches,0,1,0,13.7,0.25,-1.3,-0.11,79,218,36.2,288,62,52.1,41.7,119,57.1,44.2,121,7,5.8,10,0.83,15.5,0,0,0,0,3,0,0,0,0,0,0,0,0,0.1,0.1,0,0.01,0.01,0,0.01,0,0,1,0,0,0,0,0,0,67,0,0,
Koen Casteels,be BEL,GK,Wolfsburg,Bundesliga,29,1992,25,25,2250,25,37,1.48,96,62,64.6,10,4,11,9,36,6,3,2,1,40,Matches,0,3,0,36.4,0.35,-0.6,-0.02,186,384,48.4,780,121,37.6,35.3,176,51.7,43.6,218,15,6.9,20,0.8,14.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,132,0,0,
Leonardo César Jardim,br BRA,GK,Lille,Ligue 1,27,1995,11,11,990,11,10,0.91,41,32,78,4,5,2,7,63.6,2,1,1,0,50,Matches,0,3,1,9,0.22,0,0,41,124,33.1,199,49,40.2,35.4,80,55,44.8,82,6,7.3,9,0.82,16.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,45,0,0,
Jasper Cillessen,nl NED,GK,Valencia,La Liga,32,1989,16,16,1367,15.2,28,1.84,68,45,66.2,4,7,5,3,18.8,6,5,1,0,16.7,Matches,0,4,2,29,0.37,3,0.2,111,255,43.5,330,64,55.5,45.9,96,75,57.4,118,9,7.6,7,0.46,15.1,0,1,0,0,1,0,0,0.07,0.07,0,0.07,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,68,0,0,
Diego Conde,es ESP,GK,Getafe,La Liga,23,1998,1,0,6,0.1,0,0,0,0,,0,0,0,1,,0,0,0,0,,Matches,0,0,0,0,,0,0,0,6,0,4,0,100,65.3,2,100,68.5,2,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Andrea Consigli,it ITA,GK,Sassuolo,Serie A,35,1987,32,32,2880,32,50,1.56,128,84,66.4,12,10,10,3,9.4,8,7,1,0,12.5,Matches,0,6,1,50.8,0.35,1.8,0.06,237,492,48.2,1057,142,38.5,35.1,225,37.8,31.9,290,18,6.2,18,0.56,12.9,0,0,0,0,2,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,2,6,0,0,0,0,0,2,150,0,0,
Benoît Costil,fr FRA,GK,Bordeaux,Ligue 1,34,1987,22,22,1980,22,52,2.36,113,66,58.4,3,8,11,0,0,5,5,0,0,0,Matches,1,6,0,40.8,0.32,-11.2,-0.51,187,422,44.3,615,70,47.8,39.8,182,70.3,52,168,13,7.7,22,1,16.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,112,0,0,
Thibaut Courtois,be BEL,GK,Real Madrid,La Liga,29,1992,32,32,2880,32,28,0.87,105,78,75.2,23,6,3,13,40.6,3,2,1,0,33.3,Matches,1,2,0,31.2,0.27,3.2,0.1,100,279,35.8,827,168,24.3,31.8,176,44.3,40.3,281,26,9.3,20,0.63,14.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,123,0,0,
Alessio Cragno,it ITA,GK,Cagliari,Serie A,27,1994,30,30,2700,30,56,1.87,151,98,66.2,6,8,16,1,3.3,7,5,2,0,28.6,Matches,4,10,1,55.1,0.34,0.1,0,286,658,43.5,773,95,59.5,43.7,274,72.3,50.5,247,18,7.3,16,0.53,15,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,1,0,1,127,0,0,
Karl Darlow,eng ENG,GK,Newcastle Utd,Premier League,31,1990,8,8,720,8,15,1.87,37,25,64.9,0,5,3,0,0,2,2,0,0,0,Matches,0,1,1,10.6,0.24,-3.4,-0.42,75,172,43.6,189,29,64.6,49.8,64,78.1,59.8,69,8,11.6,4,0.5,14.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,31,0,0,
Arthur Desmas,fr FRA,GK,Clermont Foot,Ligue 1,28,1994,15,15,1304,14.5,33,2.28,64,35,53.1,3,5,7,3,20,3,3,0,0,0,Matches,0,4,1,23.9,0.34,-8.1,-0.56,39,146,26.7,302,53,31.8,33.8,112,44.6,36.8,87,3,3.4,5,0.35,12.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,61,0,0,
Javier Díaz,es ESP,GK,Sevilla,La Liga,24,1997,1,1,90,1,1,1,2,1,50,0,1,0,0,0,0,0,0,0,,Matches,0,0,0,0.3,0.15,-0.7,-0.7,5,10,50,30,2,26.7,31.9,3,66.7,50.3,12,1,8.3,1,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,La Liga,28,1993,25,24,2232,24.8,29,1.17,89,67,75.3,9,6,9,6,25,9,7,2,0,22.2,Matches,0,4,1,32,0.28,4,0.16,169,487,34.7,577,115,60,47.5,182,77.5,58.1,194,18,9.3,12,0.48,12.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,130,0,0,
Matías Dituro,ar ARG,GK,Celta Vigo,La Liga,34,1987,32,32,2880,32,35,1.09,110,80,71.8,10,9,13,12,37.5,8,4,4,0,50,Matches,0,1,1,39.3,0.3,5.3,0.17,299,707,42.3,1000,116,53.5,43.8,236,72.9,55,244,36,14.8,27,0.84,15.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,170,0,0,
Ouparine Djoco,sn SEN,GK,Clermont Foot,Ligue 1,23,1998,18,17,1576,17.5,28,1.6,71,46,63.4,4,3,10,4,23.5,2,2,0,0,0,Matches,0,5,2,21.4,0.28,-4.6,-0.26,93,264,35.2,430,74,44.9,37.9,111,64,45,138,7,5.1,13,0.74,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,101,0,0,
Marko Dmitrović,rs SRB,GK,Sevilla,La Liga,30,1992,5,5,450,5,5,1,17,12,70.6,3,2,0,3,60,0,0,0,0,,Matches,0,0,0,5.2,0.31,0.2,0.05,16,43,37.2,150,22,22.7,30.4,24,37.5,39.7,40,3,7.5,9,1.8,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,25,0,0,
Jaume Doménech,es ESP,GK,Valencia,La Liga,31,1990,3,2,253,2.8,4,1.42,8,5,50,1,0,1,0,0,0,0,0,0,,Matches,0,1,1,3.9,0.49,0.9,0.32,31,62,50,59,7,69.5,46.6,27,77.8,53,32,3,9.4,1,0.36,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,
Gianluigi Donnarumma,it ITA,GK,Paris S-G,Ligue 1,23,1999,15,15,1350,15,14,0.93,55,41,76.4,12,1,2,4,26.7,1,1,0,0,0,Matches,0,3,0,16.5,0.29,2.5,0.17,32,56,57.1,318,92,13.5,23.7,81,16,21.6,96,5,5.2,20,1.33,17.5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,59,0,0,
Bartłomiej Drągowski,pl POL,GK,Fiorentina,Serie A,24,1997,7,7,556,6.2,8,1.29,23,16,69.6,3,0,4,2,28.6,2,1,1,0,50,Matches,0,1,0,8.3,0.28,0.3,0.05,53,119,44.5,305,23,33.1,33.9,39,46.2,43.6,31,5,16.1,13,2.1,17.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,28,0,0,
Matthieu Dreyer,fr FRA,GK,Lorient,Ligue 1,33,1989,10,10,900,10,14,1.4,33,20,60.6,4,2,4,5,50,1,1,0,0,0,Matches,0,0,0,11.4,0.32,-2.6,-0.26,57,161,35.4,195,21,47.2,40.4,86,80.2,53.9,94,4,4.3,1,0.1,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,37,0,0,
Martin Dúbravka,sk SVK,GK,Newcastle Utd,Premier League,33,1989,20,20,1800,20,28,1.4,76,48,64.5,9,4,7,5,25,1,1,0,0,0,Matches,0,5,1,29.4,0.38,2.4,0.12,176,393,44.8,451,64,50.8,41.7,181,90.6,62.6,167,13,7.8,6,0.3,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,82,0,0,
Ederson,br BRA,GK,Manchester City,Premier League,28,1993,30,30,2700,30,20,0.67,69,48,72.5,22,5,3,17,56.7,1,1,0,0,0,Matches,0,1,0,18.6,0.26,-1.4,-0.05,118,212,55.7,799,125,23.2,29.7,114,23.7,31.2,144,14,9.7,27,0.9,16.6,0,0,0,0,3,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,1,7,0,0,0,0,0,1,101,0,0,
Aarón Escandell,es ESP,GK,Granada,La Liga,26,1995,4,3,284,3.2,6,1.9,14,10,71.4,0,2,1,1,33.3,2,2,0,0,0,Matches,0,0,0,4.2,0.19,-1.8,-0.58,39,89,43.8,88,13,68.2,48.1,37,78.4,54.3,26,2,7.7,7,2.22,14.5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24,0,0,
Michael Esser,de GER,GK,Bochum,Bundesliga,34,1987,2,2,180,2,4,2,8,5,62.5,2,0,0,0,0,1,1,0,0,0,Matches,0,1,0,3.5,0.32,-0.5,-0.24,15,56,26.8,64,6,57.8,42.7,26,73.1,48.6,23,0,0,0,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,
Łukasz Fabiański,pl POL,GK,West Ham,Premier League,37,1985,32,32,2880,32,42,1.31,129,85,69,15,7,10,7,21.9,4,2,1,1,33.3,Matches,1,7,1,41.7,0.31,0.7,0.02,211,512,41.2,604,120,56.8,44.4,231,73.2,54,293,11,3.8,6,0.19,11.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,116,0,0,
Wladimiro Falcone,it ITA,GK,Sampdoria,Serie A,27,1995,10,9,855,9.5,14,1.47,53,41,75.5,2,1,6,2,22.2,1,1,0,0,0,Matches,0,0,1,15.7,0.28,2.7,0.29,65,168,38.7,284,44,40.5,36.7,74,71.6,49.1,108,9,8.3,1,0.11,11.9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,48,0,0,
Wuilker Faríñez,ve VEN,GK,Lens,Ligue 1,24,1998,8,7,675,7.5,10,1.33,27,18,66.7,4,2,1,2,28.6,1,1,0,0,0,Matches,0,0,0,7.7,0.26,-2.3,-0.3,21,65,32.3,139,33,38.1,32.9,54,22.2,24.9,61,0,0,8,1.07,15.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,
Aitor Fernández,es ESP,GK,Levante,La Liga,30,1991,13,13,1166,13,29,2.24,79,51,64.6,1,5,7,2,15.4,2,1,1,0,50,Matches,0,8,0,24.9,0.29,-4.1,-0.32,73,174,42,290,62,46.2,40.2,91,44,36.4,111,5,4.5,11,0.85,16.3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,51,0,0,
Álvaro Fernández,es ESP,GK,Brentford,Premier League,24,1998,12,12,1080,12,24,2,67,46,65.7,3,2,7,1,8.3,1,1,0,0,0,Matches,0,5,2,24.7,0.36,2.7,0.23,82,247,33.2,417,56,48,38.6,83,56.6,41,123,7,5.7,10,0.83,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,68,0,0,
Vincenzo Fiorillo,it ITA,GK,Salernitana,Serie A,32,1990,1,1,90,1,5,5,8,3,37.5,0,0,1,0,0,0,0,0,0,,Matches,0,1,0,2.6,0.33,-2.4,-2.38,11,19,57.9,20,4,50,41.3,11,81.8,53.3,7,1,14.3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Mark Flekken,nl NED,GK,Freiburg,Bundesliga,28,1993,28,28,2520,28,27,0.96,121,96,78.5,14,8,6,10,35.7,1,1,0,0,0,Matches,1,3,1,30.8,0.26,4.8,0.17,259,626,41.4,968,104,47.9,42.9,213,76.1,62.5,256,15,5.9,23,0.82,15.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,148,0,0,
Fraser Forster,eng ENG,GK,Southampton,Premier League,34,1988,15,15,1350,15,26,1.73,77,54,68.8,6,4,5,3,20,2,2,0,0,0,Matches,0,3,1,26.3,0.32,1.3,0.09,100,302,33.1,373,55,55.5,45.1,115,82.6,57.2,148,15,10.1,10,0.67,13.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,67,0,0,
Ben Foster,eng ENG,GK,Watford,Premier League,39,1983,21,21,1890,21,36,1.71,80,45,56.3,5,4,12,3,14.3,2,1,1,0,50,Matches,0,4,1,31,0.37,-4,-0.19,189,541,34.9,525,57,71.2,51.6,185,90.3,64.5,212,11,5.2,23,1.1,15.8,0,1,0,0,0,0,0,0.05,0.05,0,0.05,0,0,0.1,0.1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,107,0,0,
Marius Funk,de GER,GK,Greuther Fürth,Bundesliga,26,1996,8,8,720,8,30,3.75,52,26,46.2,0,0,8,0,0,2,2,0,0,0,Matches,0,4,2,24.4,0.44,-3.6,-0.46,70,193,36.3,293,28,49.5,42.1,69,69.6,53.8,51,3,5.9,12,1.5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.02,0.02,0,0.02,0,1,1,0,0,0,0,0,1,37,0,0,
