Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,xG,npxG,xA,npxG+xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA.1,Matches,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,A-xA,KP,01-Mar,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,Drib.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Past,Succ,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog.1,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Ryan Sessegnon,eng ENG,DF,Tottenham,Premier League,21,2000,9,7,537,6,0,1,0,0,0,1,0,0,0.17,0.17,0,0.17,0.2,0.2,0.8,0.9,0.03,0.13,0.16,0.03,0.16,Matches,3,1,33.3,0.5,0.17,0,0,15.2,0,0.06,-0.2,-0.2,145,197,73.6,2361,723,79,95,83.2,52,67,77.6,12,24,50,0.2,5,5,9,3,16,166,31,0,26,3,13,1,0,0,0,119,48,30,127,29,9,28,0,1,8,3,9,7,1.17,6,0,1,0,0,2,0.34,2,0,0,0,0,0,13,6,8,4,1,5,41.7,7,25,19.8,58,41,27,0,10,26,10,0,276,17,16,38.5,5,0,175,4,11,11,196,163,83.2,20,0,16,0,0,0,29,4,8,33.3
Nils Seufert,de GER,MF,Greuther Fürth,Bundesliga,25,1997,4,1,99,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,0,0,,0,0,,,,0,,0,0,22,29,75.9,340,86,14,18,77.8,7,8,87.5,1,3,33.3,0,0,3,0,0,2,28,1,0,3,0,0,0,0,0,0,21,3,5,5,22,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,1,100,0,4,19,9,9,3,0,2,3,2,0,37,3,0,,0,0,26,0,1,0,31,21,67.7,2,0,1,0,0,0,7,0,0,
Salva Sevilla,es ESP,MF,Mallorca,La Liga,38,1984,23,13,1199,13.3,4,2,0,4,4,1,0,0.3,0.15,0.45,0,0.15,4.5,1.4,2.2,3.6,0.34,0.17,0.5,0.11,0.27,Matches,19,2,10.5,1.43,0.15,0,0,25.6,6,0.08,-0.5,-1.4,677,832,81.4,13253,4542,288,324,88.9,258,292,88.4,122,194,62.9,-0.2,19,77,19,0,90,723,109,3,109,36,14,41,18,8,1,576,85,171,93,707,22,0,6,3,8,21,16,38,2.85,23,12,2,0,0,2,0.15,1,1,0,0,0,0,13,10,4,9,0,4,28.6,10,44,33.1,56,60,17,0,8,29,14,0,927,30,9,100,6,0,584,1,13,4,635,597,94,16,0,19,0,0,0,150,5,5,50
Stephan El Shaarawy,it ITA,DF,Roma,Serie A,29,1992,22,6,857,9.5,3,0,3,0,0,1,0,0.32,0,0.32,0.32,0.32,2.1,2.1,1.8,3.9,0.22,0.19,0.41,0.22,0.41,Matches,31,9,29,3.26,0.95,0.1,0.33,18.8,1,0.07,0.9,0.9,394,473,83.3,7218,1977,180,208,86.5,170,198,85.9,43,57,75.4,-1.8,20,20,25,4,49,437,36,1,82,9,23,0,0,0,0,305,99,69,27,395,13,30,1,1,3,13,10,30,3.15,26,0,2,0,0,0,0,0,0,0,0,0,0,14,5,4,10,0,4,66.7,2,33,28.9,37,46,31,0,13,30,6,0,593,9,50,53.3,20,2,416,11,14,9,482,415,86.1,45,0,8,0,0,0,83,13,14,48.1
Jamie Shackleton,eng ENG,DF,Leeds United,Premier League,22,1999,13,7,686,7.6,0,0,0,0,0,4,0,0,0,0,0,0,0.2,0.2,0,0.2,0.02,0.01,0.03,0.02,0.03,Matches,4,1,25,0.52,0.13,0,0,18.8,0,0.05,-0.2,-0.2,340,394,86.3,5565,1629,169,184,91.8,141,160,88.1,25,31,80.6,0,2,20,3,0,18,333,61,0,44,1,4,0,0,0,0,279,93,22,78,244,9,59,1,0,5,11,13,8,1.05,6,1,0,0,0,1,0.13,0,0,0,1,0,0,26,18,17,7,2,9,45,11,37,32.7,51,48,14,1,9,35,9,2,476,25,13,53.3,8,1,309,2,4,6,310,277,89.4,14,0,14,0,0,0,61,6,13,31.6
Xherdan Shaqiri,ch SUI,FW,Lyon,Ligue 1,30,1991,11,9,679,7.5,2,3,2,0,0,0,0,0.27,0.4,0.66,0.27,0.66,0.6,0.6,2.4,3,0.08,0.31,0.4,0.08,0.4,Matches,13,5,38.5,1.72,0.66,0.15,0.4,20.4,3,0.05,1.4,1.4,265,346,76.6,4762,1488,142,159,89.3,70,85,82.4,45,83,54.2,0.6,16,23,18,2,39,309,37,3,49,23,18,29,13,7,1,235,37,74,275,61,3,4,2,1,10,12,12,26,3.45,19,4,0,1,0,3,0.4,2,1,0,0,0,0,7,4,0,5,2,2,20,8,22,32.8,7,34,26,0,4,10,1,0,411,4,19,53.8,8,0,293,4,9,14,384,306,79.7,48,0,8,0,0,0,42,1,2,33.3
Luke Shaw,eng ENG,DF,Manchester Utd,Premier League,26,1995,20,19,1601,17.8,0,3,0,0,0,8,0,0,0.17,0.17,0,0.17,0.2,0.2,3.3,3.4,0.01,0.18,0.19,0.01,0.19,Matches,6,1,16.7,0.34,0.06,0,0,23.6,0,0.03,-0.2,-0.2,938,1172,80,15632,6022,497,547,90.9,333,396,84.1,92,180,51.1,-0.3,39,62,17,6,78,951,221,1,146,43,44,54,16,29,2,702,250,220,903,58,36,153,5,6,8,36,45,64,3.6,41,21,0,0,2,6,0.34,5,1,0,0,0,0,22,13,9,10,3,12,50,12,55,28.9,83,72,35,0,29,37,22,0,1321,61,16,41.7,12,1,812,1,9,10,912,831,91.1,32,0,35,0,1,0,145,22,20,52.4
Jonjo Shelvey,eng ENG,MF,Newcastle Utd,Premier League,30,1992,22,20,1803,20,2,1,2,0,0,7,1,0.1,0.05,0.15,0.1,0.15,0.8,0.8,0.8,1.6,0.04,0.04,0.08,0.04,0.08,Matches,27,13,48.1,1.35,0.65,0.07,0.15,26.1,5,0.03,1.2,1.2,690,853,80.9,16759,5087,204,223,91.5,281,331,84.9,195,280,69.6,0.2,16,89,10,0,68,780,73,2,110,72,11,26,12,8,2,530,80,243,94,725,23,3,3,2,12,19,6,42,2.1,30,8,1,0,3,2,0.1,1,0,0,0,0,1,25,13,9,14,2,8,27.6,21,62,24.9,92,130,27,0,17,59,32,2,1025,52,3,70,9,0,598,0,14,8,638,599,93.9,6,1,18,0,0,0,204,12,13,48
Aimar Sher,se SWE,MF,Spezia,Serie A,19,2002,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,0,0,,0,0,,,,0,,0,0,18,19,94.7,318,100,9,9,100,6,6,100,2,2,100,0,0,1,1,0,3,19,0,0,5,0,0,0,0,0,0,12,3,4,2,15,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,1,9,69.2,5,8,0,0,2,3,2,0,27,1,0,,0,0,12,0,0,1,13,12,92.3,2,0,0,0,0,0,8,3,1,75
Eldor Shomurodov,uz UZB,FW,Roma,Serie A,26,1995,23,4,650,7.2,2,3,2,0,0,1,0,0.28,0.42,0.69,0.28,0.69,3,3,1.7,4.7,0.41,0.24,0.65,0.41,0.65,Matches,23,9,39.1,3.18,1.25,0.09,0.22,12.6,0,0.13,-1,-1,129,192,67.2,1879,514,76,107,71,35,51,68.6,10,16,62.5,1.3,15,10,6,3,8,187,5,1,53,2,10,0,0,0,0,124,37,31,26,126,15,3,0,2,3,8,12,24,3.32,23,0,1,0,0,5,0.69,4,0,1,0,0,0,6,4,0,4,2,0,0,8,33,20.6,29,72,59,0,5,11,2,0,278,2,57,15.4,4,1,169,6,15,14,320,209,65.3,72,0,17,0,0,0,38,26,30,46.4
