Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,xG,npxG,xA,npxG+xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA.1,Matches,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,A-xA,KP,01-Mar,PPA,CrsPA,Prog,Live,Dead,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Off,Out.1,Int,Blocks,SCA,SCA90,PassLive,PassDead,Drib,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,Drib.1,Sh.1,Fld.1,Def.1,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Tkl%,Past,Succ,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,ShSv,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Att Pen,Succ%,#Pl,Megs,Carries,CPA,Mis,Dis,Targ,Rec,Rec%,Prog.1,2CrdY,Fls,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Raoul Bellanova,it ITA,DF,Cagliari,Serie A,21,2000,26,22,2071,23,1,2,1,0,0,3,0,0.04,0.09,0.13,0.04,0.13,1.5,1.5,3.3,4.8,0.07,0.14,0.21,0.07,0.21,Matches,18,4,22.2,0.78,0.17,0.06,0.25,15.2,0,0.08,-0.5,-0.5,563,789,71.4,10297,2599,258,323,79.9,225,304,74,72,130,55.4,-1.3,25,24,23,17,35,702,87,0,124,31,68,1,1,0,0,475,136,178,67,600,29,79,2,1,12,37,32,40,1.74,34,0,0,3,2,4,0.17,4,0,0,0,0,0,34,16,16,16,2,9,26.5,25,67,26.5,85,109,59,0,38,75,34,0,1062,58,43,51,26,3,704,5,33,27,810,663,81.9,60,0,12,0,1,0,133,19,28,40.4
Karim Bellarabi,de GER,FW,Leverkusen,Bundesliga,32,1990,16,9,683,7.6,3,2,3,0,0,2,0,0.4,0.26,0.66,0.4,0.66,2.2,2.2,1.2,3.4,0.29,0.16,0.45,0.29,0.45,Matches,28,11,39.3,3.69,1.45,0.11,0.27,17.2,0,0.08,0.8,0.8,199,266,74.8,3330,961,106,128,82.8,62,84,73.8,23,40,57.5,0.8,9,17,8,3,20,255,11,0,38,4,20,3,1,1,0,192,40,34,27,224,4,8,2,0,3,20,7,25,3.29,15,0,1,3,1,4,0.53,2,0,0,1,1,0,11,9,5,4,2,2,33.3,4,35,30.4,40,45,30,0,5,19,7,0,377,11,39,56.7,19,2,292,8,20,13,331,284,85.8,49,0,22,2,0,0,36,2,3,40
Jean-Ricner Bellegarde,fr FRA,MF,Strasbourg,Ligue 1,23,1998,30,21,1910,21.2,2,2,2,0,0,4,0,0.09,0.09,0.19,0.09,0.19,1.7,1.7,1.1,2.8,0.08,0.05,0.13,0.08,0.13,Matches,24,5,20.8,1.13,0.24,0.08,0.4,20.5,2,0.07,0.3,0.3,722,873,82.7,12783,2528,335,371,90.3,286,337,84.9,84,128,65.6,0.9,17,49,16,3,59,835,38,2,128,22,26,22,9,9,2,660,83,130,160,656,36,1,7,5,13,23,16,31,1.46,19,5,0,4,1,2,0.09,1,0,0,1,0,0,56,43,19,24,13,13,39.4,20,130,33.7,121,180,85,0,39,90,21,0,1173,46,36,65.2,32,0,828,10,36,41,896,767,85.6,68,0,35,0,0,0,194,17,21,44.7
Héctor Bellerín,es ESP,DF,Betis,La Liga,27,1995,22,21,1889,21,0,2,0,0,0,2,1,0,0.1,0.1,0,0.1,0.3,0.3,2.2,2.6,0.02,0.11,0.12,0.02,0.12,Matches,8,1,12.5,0.38,0.05,0,0,22.2,0,0.04,-0.3,-0.3,776,1021,76,12791,5232,403,475,84.8,286,362,79,68,122,55.7,-0.2,25,52,20,3,66,828,193,1,124,14,36,0,0,0,0,583,237,201,81,701,40,177,3,2,13,44,50,44,2.1,39,4,1,0,0,6,0.29,6,0,0,0,0,0,43,19,22,16,5,31,68.9,14,64,31.1,78,91,37,0,28,66,61,2,1243,74,46,53.3,28,3,700,7,19,10,780,704,90.3,51,0,24,0,0,1,161,34,17,66.7
Jude Bellingham,eng ENG,MF,Dortmund,Bundesliga,18,2003,28,28,2430,27,3,7,3,0,0,8,0,0.11,0.26,0.37,0.11,0.37,4,4,3.9,7.8,0.15,0.14,0.29,0.15,0.29,Matches,40,11,27.5,1.48,0.41,0.08,0.27,16.8,0,0.1,-1,-1,1120,1321,84.8,19620,4322,519,590,88,465,516,90.1,112,161,69.6,3.1,29,93,30,2,114,1294,27,5,287,41,14,2,1,0,0,1025,147,149,219,1019,35,7,15,5,18,51,36,89,3.3,59,0,9,11,6,18,0.67,11,0,2,0,2,3,57,38,16,30,11,19,38.8,30,189,33.3,117,308,143,0,54,93,25,2,1763,49,92,51.1,52,1,1278,15,57,54,1556,1323,85,152,0,37,0,0,0,205,36,43,45.6
George Bello,us USA,DF,Arminia,Bundesliga,20,2002,7,2,311,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.01,0.09,0.09,0.01,0.09,Matches,1,0,0,0.29,0,0,,27.2,0,0.02,0,0,106,131,80.9,1740,556,46,53,86.8,57,68,83.8,2,8,25,-0.3,3,6,1,0,9,109,22,0,22,1,5,2,0,2,0,92,24,15,91,19,0,19,0,0,1,5,1,4,1.16,4,0,0,0,0,0,0,0,0,0,0,0,0,7,4,7,0,0,4,80,1,11,26.8,23,11,7,0,5,14,8,0,179,16,5,40,4,0,112,0,9,3,105,97,92.4,5,0,3,0,0,0,27,2,5,28.6
Jeanuel Belocian,fr FRA,DF,Rennes,Ligue 1,17,2005,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,0,0,,0,0,,,,0,,0,0,8,10,80,155,59,2,2,100,6,7,85.7,0,1,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,9,0,1,9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,10,4,0,,0,0,8,0,0,0,9,9,100,0,0,0,0,0,0,1,0,0,
Andrea Belotti,it ITA,FW,Torino,Serie A,28,1993,18,13,1119,12.4,5,1,4,1,1,1,0,0.4,0.08,0.48,0.32,0.4,5,4.3,0.9,5.2,0.41,0.07,0.48,0.34,0.42,Matches,45,11,24.4,3.62,0.88,0.09,0.36,14.3,1,0.1,0,-0.3,211,295,71.5,2893,391,136,166,81.9,57,75,76,8,20,40,0.1,7,14,4,0,13,279,16,0,96,4,8,0,0,0,0,185,68,42,60,180,14,1,1,1,6,10,13,34,2.73,17,0,3,7,1,3,0.24,1,0,1,0,1,0,7,5,2,1,4,3,37.5,5,46,28.9,12,64,83,0,7,14,4,0,481,9,81,61.5,8,0,300,12,51,25,701,383,54.6,129,0,23,1,0,0,44,50,76,39.7
Fran Beltrán,es ESP,MF,Celta Vigo,La Liga,23,1999,32,26,2231,24.8,1,0,1,0,0,3,0,0.04,0,0.04,0.04,0.04,0.3,0.3,0.6,0.9,0.01,0.02,0.04,0.01,0.04,Matches,17,4,23.5,0.69,0.16,0.06,0.25,27.9,0,0.02,0.7,0.7,1450,1601,90.6,30032,5531,502,546,91.9,680,723,94.1,249,287,86.8,-0.6,11,108,7,2,77,1533,68,0,198,68,9,5,0,3,0,1279,137,185,136,1384,51,2,11,3,16,24,19,32,1.29,27,0,1,1,2,2,0.08,0,0,0,1,0,1,66,41,29,30,7,31,44.9,38,188,37.7,171,260,68,0,39,115,27,1,1849,66,5,68.4,13,0,1252,0,12,21,1345,1282,95.3,22,0,20,0,0,0,280,20,44,31.3
Hatem Ben Arfa,fr FRA,FW,Lille,Ligue 1,35,1987,7,4,314,3.5,0,1,0,0,0,1,0,0,0.29,0.29,0,0.29,0.4,0.4,0.9,1.3,0.11,0.25,0.36,0.11,0.36,Matches,3,1,33.3,0.86,0.29,0,0,16.1,1,0.13,-0.4,-0.4,138,157,87.9,2303,376,63,68,92.6,50,57,87.7,16,21,76.2,0.1,6,4,5,2,7,141,16,1,25,5,6,6,1,5,0,126,20,11,130,21,4,1,1,1,1,4,3,12,3.44,8,2,1,0,0,2,0.57,1,0,1,0,0,0,3,2,2,0,1,1,33.3,2,7,17.9,4,21,14,0,1,4,1,0,198,1,14,50,9,0,153,3,6,13,187,153,81.8,17,0,7,0,0,0,18,0,7,0
Salim Ben Seghir,fr FRA,FW,Marseille,Ligue 1,19,2003,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,0,0,,0,0,,,,0,,0,0,1,1,100,15,10,1,1,100,0,0,,0,0,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,1,1,100,1,0,0,0,0,0,0,0,0,
Wissam Ben Yedder,fr FRA,FW,Monaco,Ligue 1,31,1990,31,23,2075,23.1,19,4,12,7,7,2,0,0.82,0.17,1,0.52,0.69,12.8,7.5,3.9,11.4,0.55,0.17,0.72,0.32,0.49,Matches,47,24,51.1,2.04,1.04,0.26,0.5,14.4,1,0.16,6.2,4.5,436,587,74.3,6448,1154,245,306,80.1,142,191,74.3,33,53,62.3,0.1,25,26,28,0,49,541,46,5,147,3,15,0,0,0,0,383,118,86,272,268,26,1,8,4,9,29,19,55,2.39,44,0,4,4,1,9,0.39,7,0,1,0,1,0,19,12,1,10,8,7,31.8,15,114,30.2,20,145,213,0,10,25,2,0,812,3,166,41.8,29,1,531,30,39,35,1100,612,55.6,226,0,20,1,0,0,91,21,58,26.6
Marco Benassi,it ITA,DF,Fiorentina,Serie A,27,1994,6,1,158,1.8,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.06,0.03,0.08,0.06,0.08,Matches,3,0,0,1.71,0,0,,21.2,0,0.03,-0.1,-0.1,108,131,82.4,2140,618,44,49,89.8,45,56,80.4,19,23,82.6,-0.1,1,10,1,0,9,116,15,0,15,3,1,0,0,0,0,79,25,27,30,81,6,13,0,0,0,5,3,1,0.57,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,2,100,0,7,28,12,8,5,0,3,7,4,1,147,6,4,100,1,1,97,0,1,1,109,101,92.7,3,0,4,0,0,0,14,3,4,42.9
Marco Benassi,it ITA,MF,Empoli,Serie A,27,1994,9,3,325,3.6,0,0,0,0,0,1,0,0,0,0,0,0,0.4,0.4,0.2,0.7,0.12,0.06,0.19,0.12,0.19,Matches,6,3,50,1.66,0.83,0,0,15.4,0,0.07,-0.4,-0.4,101,143,70.6,1795,669,48,61,78.7,41,51,80.4,11,17,64.7,-0.2,3,13,5,1,18,136,7,0,20,5,9,1,0,1,0,106,16,21,47,84,1,4,0,0,4,9,11,7,1.94,5,0,0,0,1,0,0,0,0,0,0,0,0,9,3,3,5,1,3,42.9,4,17,24.3,15,37,18,0,4,12,2,0,183,7,14,25,1,0,125,1,1,3,160,126,78.8,13,0,5,0,0,0,25,8,13,38.1
Darío Benedetto,ar ARG,FW,Marseille,Ligue 1,31,1990,2,0,54,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.6,0.86,0.06,0.92,0.86,0.92,Matches,3,0,0,5,0,0,,12.2,0,0.17,-0.5,-0.5,10,11,90.9,160,35,6,7,85.7,3,3,100,1,1,100,0,1,0,0,0,1,11,0,0,3,0,0,0,0,0,0,8,2,1,4,5,0,0,1,0,0,0,0,1,1.67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,33.3,0,4,2,0,1,0,0,0,19,0,4,0,0,0,12,0,3,1,24,15,62.5,2,0,0,0,0,0,4,2,1,66.7
Darío Benedetto,ar ARG,FW,Elche,La Liga,31,1990,14,6,590,6.6,2,1,2,0,0,1,0,0.31,0.15,0.46,0.31,0.46,2.7,2.7,0.9,3.6,0.41,0.14,0.56,0.41,0.56,Matches,18,6,33.3,2.75,0.92,0.11,0.33,20.6,0,0.15,-0.7,-0.7,77,114,67.5,1537,371,38,55,69.1,24,36,66.7,14,19,73.7,0.1,5,11,4,0,14,106,8,1,28,7,6,0,0,0,0,61,26,27,14,80,7,1,3,1,5,8,4,11,1.68,7,0,3,0,0,2,0.31,1,0,0,1,0,0,4,0,2,1,1,1,25,3,16,20.8,7,49,21,0,4,6,2,0,184,1,24,62.5,11,2,119,0,15,10,223,139,62.3,31,0,5,0,0,0,18,11,12,47.8
László Bénes,sk SVK,MF,M'Gladbach,Bundesliga,24,1997,13,2,246,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.7,0.3,1.1,0.26,0.13,0.39,0.26,0.39,Matches,7,5,71.4,2.56,1.83,0,0,22,2,0.1,-0.7,-0.7,142,192,74,2625,736,63,76,82.9,49,58,84.5,26,48,54.2,-0.3,4,19,1,0,14,169,23,0,31,10,5,11,6,2,0,130,13,49,161,15,9,1,1,2,2,5,4,11,4.02,4,4,0,1,1,1,0.37,0,0,0,1,0,0,5,4,0,3,2,0,0,6,24,40.7,15,37,7,0,3,5,7,0,232,8,3,66.7,2,0,143,2,6,1,164,154,93.9,8,0,1,0,0,0,29,6,1,85.7
Walter Benítez,ar ARG,GK,Nice,Ligue 1,29,1993,31,31,2790,31,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,0,0,,0,0,,,,0,,0,0,630,857,73.5,18164,12398,143,143,100,267,270,98.9,218,441,49.4,0,0,1,0,0,0,576,281,0,56,10,0,0,0,0,0,450,42,365,97,591,1,0,127,1,13,5,1,1,0.03,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,0,1,0,919,813,0,,0,0,418,0,0,0,352,350,99.4,0,0,0,0,0,0,140,0,0,
Iker Benito,es ESP,MF,Osasuna,La Liga,19,2002,4,1,118,1.3,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.07,0.1,0.17,0.07,0.17,Matches,3,1,33.3,2.29,0.76,0,0,25.9,0,0.03,-0.1,-0.1,22,29,75.9,271,106,13,15,86.7,6,10,60,0,0,,-0.1,1,2,1,1,2,29,0,0,7,0,2,0,0,0,0,21,7,1,9,16,2,0,0,2,0,1,1,3,2.29,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,2,7.7,3,13,10,0,5,1,1,0,55,1,1,20,1,0,40,0,5,4,41,37,90.2,8,0,2,0,0,0,10,2,3,40
Loris Benito,ch SUI,DF,Bordeaux,Ligue 1,30,1992,1,1,61,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,0,0,,0,0,,,,0,,0,0,42,53,79.2,836,259,14,18,77.8,20,21,95.2,7,12,58.3,0,0,0,0,0,4,46,7,0,6,0,0,0,0,0,0,32,12,9,39,3,5,6,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,0,2,22.2,6,2,1,0,2,3,1,0,63,4,0,,0,0,38,0,0,2,40,39,97.5,0,0,1,0,0,0,7,0,0,
Pedro Benito,es ESP,FW,Cádiz,La Liga,22,2000,1,0,31,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,0,0,,0,0,,,,0,,0,0,4,6,66.7,60,12,3,4,75,1,2,50,0,0,,0,0,2,0,0,1,6,0,0,4,0,0,0,0,0,0,1,2,3,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,13.3,0,10,5,0,0,0,0,0,8,0,0,0,1,0,4,0,1,0,18,7,38.9,0,0,3,0,0,0,1,3,3,50
Ismaël Bennacer,dz ALG,MF,Milan,Serie A,24,1997,27,15,1417,15.7,2,1,2,0,0,5,0,0.13,0.06,0.19,0.13,0.19,0.8,0.8,2,2.8,0.05,0.13,0.18,0.05,0.18,Matches,16,6,37.5,1.02,0.38,0.13,0.33,22.6,2,0.05,1.2,1.2,916,1052,87.1,18108,5097,371,404,91.8,377,417,90.4,148,203,72.9,-1,20,94,21,4,114,987,65,6,148,52,15,13,3,4,1,802,79,171,902,103,32,3,1,4,15,29,4,50,3.18,34,6,3,4,2,2,0.13,2,0,0,0,0,0,49,37,24,21,4,18,40.9,26,122,32.8,124,190,58,0,14,89,17,0,1250,52,15,87.5,36,1,938,2,23,27,938,860,91.7,34,0,25,0,0,0,176,15,21,41.7
Keanan Bennetts,eng ENG,FW,M'Gladbach,Bundesliga,23,1999,4,0,50,0.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.07,0,0.07,0.07,0.07,Matches,1,0,0,1.8,0,0,,19.6,0,0.04,0,0,17,23,73.9,334,29,8,11,72.7,6,7,85.7,3,4,75,0,0,1,0,0,1,21,2,0,5,2,2,0,0,0,0,18,3,2,10,10,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,100,0,3,27.3,2,3,6,0,0,1,0,0,34,0,4,71.4,5,0,31,1,4,1,28,23,82.1,4,0,3,0,0,0,6,1,1,50
Saïd Benrahma,dz ALG,FW,West Ham,Premier League,26,1995,29,23,1936,21.5,6,6,6,0,0,0,0,0.28,0.28,0.56,0.28,0.56,4.8,4.8,3,7.9,0.23,0.14,0.37,0.23,0.37,Matches,59,19,32.2,2.74,0.88,0.1,0.32,18.9,3,0.08,1.2,1.2,559,747,74.8,8891,2040,324,377,85.9,177,233,76,43,86,50,3,28,32,29,10,57,728,19,2,139,18,55,1,0,0,0,549,94,104,118,583,25,3,7,1,19,36,31,64,2.98,48,0,6,4,1,8,0.37,7,0,0,1,0,0,33,22,16,12,5,15,45.5,18,83,25.2,102,165,62,0,17,45,7,0,1023,17,92,41.6,38,8,789,23,45,37,985,748,75.9,153,0,6,0,0,0,155,14,18,43.8
Ramy Bensebaini,dz ALG,DF,M'Gladbach,Bundesliga,27,1995,19,18,1660,18.4,3,1,2,1,1,5,0,0.16,0.05,0.22,0.11,0.16,2.9,2.2,1,3.1,0.16,0.05,0.21,0.12,0.17,Matches,29,7,24.1,1.57,0.38,0.07,0.29,15.9,1,0.07,0.1,-0.2,822,1023,80.4,15925,5360,326,370,88.1,365,430,84.9,119,187,63.6,0,12,61,13,6,78,892,131,1,144,19,16,1,0,0,0,668,185,170,638,214,45,97,1,5,21,31,28,25,1.36,20,2,0,1,1,4,0.22,3,0,0,1,0,0,36,18,18,16,2,16,43.2,21,57,29.5,97,70,26,0,34,103,59,0,1313,112,38,53.8,16,0,767,6,20,16,793,743,93.7,30,0,29,0,1,0,206,50,40,55.6
Nabil Bentaleb,dz ALG,MF,Angers,Ligue 1,27,1994,12,12,994,11,1,0,1,0,0,2,0,0.09,0,0.09,0.09,0.09,0.3,0.3,0.4,0.8,0.03,0.04,0.07,0.03,0.07,Matches,9,5,55.6,0.81,0.45,0.11,0.2,20.8,0,0.04,0.7,0.7,448,544,82.4,8365,2328,196,222,88.3,183,216,84.7,59,83,71.1,-0.4,2,36,3,0,40,528,16,0,107,14,5,0,0,0,0,417,61,66,422,85,17,1,3,1,18,16,12,10,0.91,7,1,1,0,1,1,0.09,1,0,0,0,0,0,36,25,14,15,7,11,68.8,5,61,29.9,59,119,26,0,12,55,13,0,667,26,11,77.8,15,1,444,0,17,15,486,464,95.5,21,0,22,0,0,0,93,19,10,65.5
Rodrigo Bentancur,uy URU,MF,Tottenham,Premier League,24,1997,11,10,848,9.4,0,1,0,0,0,3,0,0,0.11,0.11,0,0.11,0.3,0.3,0.8,1.1,0.03,0.09,0.12,0.03,0.12,Matches,6,0,0,0.64,0,0,,18.3,0,0.04,-0.3,-0.3,580,652,89,10923,2186,236,250,94.4,255,280,91.1,77,93,82.8,0.2,7,48,3,0,44,638,14,2,88,16,3,0,0,0,0,563,35,54,126,498,17,3,0,0,6,13,15,19,2.02,18,0,0,0,0,4,0.42,4,0,0,0,0,0,26,11,13,10,3,9,37.5,15,55,24.3,83,119,24,0,15,35,15,0,754,44,6,64.3,9,0,562,1,6,12,590,566,95.9,9,0,18,0,0,0,89,15,10,60
Rodrigo Bentancur,uy URU,MF,Juventus,Serie A,24,1997,19,13,1155,12.8,0,1,0,0,0,1,0,0,0.08,0.08,0,0.08,0.4,0.4,0.3,0.8,0.03,0.02,0.06,0.03,0.06,Matches,8,1,12.5,0.62,0.08,0,0,20.5,0,0.06,-0.4,-0.4,660,756,87.3,12367,2858,256,280,91.4,316,346,91.3,76,100,76,0.7,8,79,5,0,56,745,11,1,107,15,4,0,0,0,0,626,51,79,133,577,28,0,1,0,6,23,17,35,2.73,29,0,0,0,3,3,0.23,2,0,0,1,0,0,35,27,12,19,4,8,30.8,18,95,33.3,88,146,51,0,16,72,18,0,892,32,15,57.1,4,1,647,3,12,21,675,637,94.4,32,0,26,0,0,0,122,23,16,59
Christian Benteke,be BEL,FW,Crystal Palace,Premier League,31,1990,22,11,1115,12.4,4,1,4,0,0,3,0,0.32,0.08,0.4,0.32,0.4,5.4,5.4,1.1,6.4,0.43,0.09,0.52,0.43,0.52,Matches,39,13,33.3,3.15,1.05,0.1,0.31,11.4,0,0.14,-1.4,-1.4,198,282,70.2,3024,547,113,148,76.4,58,91,63.7,18,26,69.2,-0.1,10,10,9,0,16,261,21,1,105,5,1,0,0,0,0,147,71,64,17,170,30,3,4,2,7,12,6,18,1.45,15,0,1,1,0,1,0.08,1,0,0,0,0,0,8,2,2,4,2,2,33.3,4,30,25.9,9,50,57,0,4,9,30,1,440,38,84,47.4,11,1,219,8,37,13,629,325,51.7,100,0,15,0,0,0,43,80,59,57.6
Karim Benzema,fr FRA,FW,Real Madrid,La Liga,34,1987,28,28,2308,25.6,25,11,18,7,9,0,0,0.97,0.43,1.4,0.7,1.13,20.5,13.7,7.3,21,0.8,0.28,1.08,0.54,0.82,Matches,102,42,41.2,3.98,1.64,0.18,0.43,15.2,3,0.14,4.5,4.3,930,1095,84.9,13773,3129,552,625,88.3,273,314,86.9,65,83,78.3,3.7,52,59,76,4,123,1045,50,3,158,17,25,7,0,0,0,916,110,69,175,884,15,3,13,11,20,52,26,103,4.02,88,0,10,2,0,18,0.7,14,0,3,1,0,0,10,5,2,5,3,2,22.2,7,73,30.4,17,73,150,0,10,17,13,0,1337,14,197,69.2,28,6,967,38,29,20,1538,1128,73.3,197,0,14,0,0,0,83,17,41,29.3
Domenico Berardi,it ITA,FW,Sassuolo,Serie A,27,1994,28,28,2412,26.8,14,7,8,6,6,8,0,0.52,0.26,0.78,0.3,0.56,10.9,6.4,7.3,13.7,0.41,0.27,0.68,0.24,0.51,Matches,84,34,40.5,3.13,1.27,0.1,0.24,21.8,7,0.08,3.1,1.6,865,1213,71.3,17779,5447,358,449,79.7,317,421,75.3,167,253,66,-0.3,67,76,51,7,167,1111,102,6,251,76,43,51,32,5,2,769,181,263,1005,128,39,13,8,4,19,53,63,123,4.59,95,13,5,5,2,19,0.71,12,1,3,0,2,1,27,18,7,15,5,10,27,27,116,25.3,101,221,137,0,40,68,22,0,1592,33,116,40.9,32,1,1138,29,55,35,1405,1146,81.6,191,0,56,2,0,0,188,23,21,52.3
Yuri Berchiche,es ESP,DF,Athletic Club,La Liga,32,1990,8,6,558,6.2,1,2,1,0,0,2,0,0.16,0.32,0.48,0.16,0.48,0.4,0.4,0.5,0.9,0.06,0.08,0.14,0.06,0.14,Matches,7,3,42.9,1.13,0.48,0.14,0.33,19.6,0,0.05,0.6,0.6,297,373,79.6,5159,2587,134,153,87.6,134,160,83.8,22,43,51.2,1.5,4,27,7,4,42,307,66,0,43,11,17,0,0,0,0,228,73,72,283,15,10,57,0,3,4,17,11,12,1.94,10,1,0,1,0,3,0.48,3,0,0,0,0,0,11,7,6,4,1,3,50,3,20,29.9,30,31,6,0,6,24,11,0,437,19,8,42.9,4,0,271,1,4,6,278,260,93.5,9,0,4,0,0,0,60,15,7,68.2
Álex Berenguer,es ESP,MF,Athletic Club,La Liga,26,1995,29,22,1882,20.9,2,6,2,0,1,7,0,0.1,0.29,0.38,0.1,0.38,4.2,3.4,5,8.4,0.2,0.24,0.44,0.16,0.4,Matches,39,11,28.2,1.87,0.53,0.05,0.18,17.2,1,0.09,-2.2,-1.4,494,772,64,7844,2782,273,338,80.8,158,226,69.9,46,153,30.1,1,38,28,23,12,55,675,97,3,150,25,69,70,19,23,4,440,114,218,63,637,29,6,5,9,20,40,41,63,3.01,40,14,3,3,1,8,0.38,5,2,0,1,0,0,39,26,19,11,9,11,26.2,31,121,24,122,230,153,0,50,59,15,0,1101,18,82,42.6,33,8,699,12,54,44,979,724,74,131,0,51,0,0,0,135,40,57,41.2
Bartosz Bereszyński,pl POL,DF,Sampdoria,Serie A,29,1992,30,30,2496,27.7,0,3,0,0,0,11,0,0,0.11,0.11,0,0.11,0.7,0.7,0.9,1.6,0.02,0.03,0.06,0.02,0.06,Matches,6,1,16.7,0.22,0.04,0,0,14.3,0,0.11,-0.7,-0.7,1099,1409,78,17822,7549,559,637,87.8,408,504,81,92,180,51.1,2.1,16,71,27,10,93,1163,246,0,187,22,40,1,0,0,0,874,267,268,100,1025,49,204,5,4,18,59,53,39,1.41,30,2,3,2,0,7,0.25,4,2,1,0,0,0,60,34,31,20,9,22,39.3,34,146,33.6,160,193,82,0,56,108,50,3,1692,113,28,51.2,22,2,1035,6,30,22,1064,957,89.9,51,0,37,0,0,0,253,43,18,70.5
Jóhann Berg Guðmundsson,is ISL,MF,Burnley,Premier League,31,1990,18,13,1102,12.2,0,1,0,0,0,2,0,0,0.08,0.08,0,0.08,1.7,1.7,0.3,2,0.14,0.03,0.16,0.14,0.16,Matches,19,4,21.1,1.55,0.33,0,0,19.7,2,0.09,-1.7,-1.7,218,345,63.2,3487,903,134,165,81.2,58,89,65.2,22,63,34.9,0.7,6,6,12,11,13,342,3,2,77,15,42,1,1,0,0,191,57,97,253,44,27,1,3,3,8,11,22,19,1.55,14,0,1,2,1,2,0.16,2,0,0,0,0,0,19,9,10,7,2,9,45,11,44,25.9,49,69,52,0,16,36,21,0,492,24,27,63.6,15,0,331,5,17,18,383,302,78.9,58,0,17,0,0,0,96,21,16,56.8
Patrick Berg,no NOR,MF,Lens,Ligue 1,24,1997,12,2,276,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches,0,0,,0,0,,,,0,,0,0,161,193,83.4,2824,520,79,85,92.9,66,79,83.5,15,25,60,0,1,9,0,0,10,191,2,0,28,7,2,0,0,0,0,141,20,32,24,163,3,0,0,0,4,4,2,2,0.65,2,0,0,0,0,0,0,0,0,0,0,0,0,12,6,4,8,0,4,57.1,3,26,32.9,28,44,7,0,5,19,7,0,225,15,2,50,1,0,140,0,1,0,154,147,95.5,1,0,5,0,0,0,38,4,3,57.1
